step,sps,episodes,phi/obj,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,51.8,30,0.8101275017112494,-8.650749681711197,0.8640219582915306,0.3827871977910399,0.8144279175847768
7000,45.0,35,0.8936962277889252,-17.96683856201172,0.6400065122246742,0.0998727006725967,0.8969743868708611
8000,41.0,40,0.9481680606603622,-26.09059560585022,0.4741166922450066,0.044482279933989045,0.9503106256723404
9000,38.3,45,0.9597518612146377,-32.85599067497253,0.35127292522788045,0.029801024087704717,0.9614884526133537
10000,36.4,50,0.9723476896286011,-38.49953928756714,0.26028292793035507,0.018575634445995092,0.9736953746080399
11000,35.0,55,0.9669057531356812,-43.20586421966553,0.19288617518544196,0.024519528628326952,0.9684520295858383
12000,33.9,60,0.9695831924676895,-47.235332683563236,0.14297199080139397,0.022122158248443158,0.971201652765274
13000,33.0,65,0.9789401842951775,-50.71567129516602,0.1060451625213027,0.013869272620417178,0.9801169208288193
14000,32.3,70,0.9816769870519638,-53.85396063995361,0.0787618914693594,0.017648682192433627,0.982825957596302
15000,31.7,75,0.9801082276701927,-56.57555782318115,0.058621765896677974,0.02420200671348721,0.9813175817728043
16000,31.2,80,0.9814018784761429,-59.09337059020996,0.043777201689779756,0.029385850995779037,0.9825141727924347
17000,30.8,85,0.9841959501504898,-61.359770015716556,0.032872380713000894,0.05821440308261663,0.9853360061645507
18000,30.8,90,0.9853041709661484,-63.40827395629883,0.024954694205895068,0.2161160118454136,0.9865595926642418
19000,30.8,95,0.9885714135169983,-65.27854234313965,0.019212843449786306,0.3928734764466062,0.9895267460942269
20000,30.8,100,0.9884237045049667,-67.04639758300782,0.014962512261234224,0.4383074961192906,0.9893980922698975
21000,30.8,105,0.9893057477474213,-68.79352976226807,0.011839298418723047,0.2531977937538177,0.9902069642543793
22000,30.8,110,0.9895715340971947,-70.49963892364502,0.009670449499972165,0.4511751737473533,0.9904962010383606
23000,30.8,115,0.9875471649765968,-72.03720985412598,0.008277459817938506,0.42658144917525354,0.9887834473252296
24000,30.9,120,0.9872292384505272,-73.53855592346191,0.007614239617716521,0.4097561421673745,0.9884178140163422
25000,30.9,125,0.9885999824404716,-74.98232466888427,0.007273623968940228,0.46380255656130615,0.9897094991207123
26000,30.9,130,0.9870599629878998,-76.31940473937988,0.007420818971004337,0.46622039982490243,0.9882694131135941
27000,30.9,135,0.9886730978488922,-77.52642379760742,0.007817039176356047,0.3639301515556872,0.9898119693398476
28000,30.9,140,0.9891440948843956,-78.70941083526611,0.007672283272724598,0.35080315346457064,0.9903245965242385
29000,30.9,145,0.9876537316441536,-79.77955172729492,0.007644072729628533,0.3220441831126809,0.98894382417202
30000,30.9,150,0.9878592554926873,-80.75300337219238,0.008204181673936545,0.2973513842150569,0.9891404482722282
31000,30.9,155,0.9891953615546226,-81.72317848968505,0.008127200492657721,0.309407824549824,0.9903059110045433
