run=abl_euclid_rt_d4_s2 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.6', 'episodes': 5}
{'step': 2000, 'sps': '68.4', 'episodes': 10}
{'step': 3000, 'sps': '68.7', 'episodes': 15}
{'step': 4000, 'sps': '68.9', 'episodes': 20}
{'step': 5000, 'sps': '69', 'episodes': 25}
{'step': 21000, 'sps': '25.6', 'episodes': 105, 'metric/d_mean': '0.0002467', 'metric/d_nonzero': '0.1743', 'phi/constraint': '3.235e-08', 'phi/lambda': '48.08', 'phi/obj': '3.059e-05', 'phi/violation_rate': '0.05041', 'sac/actor_loss': '-16.9', 'sac/alpha': '0.009681', 'sac/q_loss': '0.002834', 'sac/reward_mean': '0.0031'}
{'step': 22000, 'sps': '25.6', 'episodes': 110, 'metric/d_mean': '0.0002507', 'metric/d_nonzero': '0.1766', 'phi/constraint': '4.1e-08', 'phi/lambda': '48.42', 'phi/obj': '2.993e-05', 'phi/violation_rate': '0.04799', 'sac/actor_loss': '-16.14', 'sac/alpha': '0.007202', 'sac/q_loss': '0.002733', 'sac/reward_mean': '0.003035'}
{'step': 23000, 'sps': '25.7', 'episodes': 115, 'metric/d_mean': '0.000253', 'metric/d_nonzero': '0.1774', 'phi/constraint': '3.312e-08', 'phi/lambda': '46.35', 'phi/obj': '3.01e-05', 'phi/violation_rate': '0.05429', 'sac/actor_loss': '-15.4', 'sac/alpha': '0.005369', 'sac/q_loss': '0.002824', 'sac/reward_mean': '0.003053'}
{'step': 24000, 'sps': '25.7', 'episodes': 120, 'metric/d_mean': '0.0002512', 'metric/d_nonzero': '0.1765', 'phi/constraint': '4.708e-08', 'phi/lambda': '45.24', 'phi/obj': '2.769e-05', 'phi/violation_rate': '0.04812', 'sac/actor_loss': '-14.68', 'sac/alpha': '0.004009', 'sac/q_loss': '0.002635', 'sac/reward_mean': '0.002811'}
{'step': 25000, 'sps': '25.8', 'episodes': 125, 'metric/d_mean': '0.0002527', 'metric/d_nonzero': '0.1772', 'phi/constraint': '3.851e-08', 'phi/lambda': '43.12', 'phi/obj': '2.813e-05', 'phi/violation_rate': '0.05323', 'sac/actor_loss': '-14', 'sac/alpha': '0.003002', 'sac/q_loss': '0.002752', 'sac/reward_mean': '0.002858'}
{'step': 26000, 'sps': '25.9', 'episodes': 130, 'metric/d_mean': '0.0002551', 'metric/d_nonzero': '0.1797', 'phi/constraint': '3.817e-08', 'phi/lambda': '45.35', 'phi/obj': '2.917e-05', 'phi/violation_rate': '0.05501', 'sac/actor_loss': '-13.35', 'sac/alpha': '0.002262', 'sac/q_loss': '0.002719', 'sac/reward_mean': '0.002961'}
{'step': 27000, 'sps': '25.9', 'episodes': 135, 'metric/d_mean': '0.0002543', 'metric/d_nonzero': '0.1784', 'phi/constraint': '4.367e-08', 'phi/lambda': '43.48', 'phi/obj': '2.771e-05', 'phi/violation_rate': '0.05401', 'sac/actor_loss': '-12.72', 'sac/alpha': '0.00172', 'sac/q_loss': '0.002846', 'sac/reward_mean': '0.002814'}
{'step': 28000, 'sps': '26', 'episodes': 140, 'metric/d_mean': '0.0002571', 'metric/d_nonzero': '0.1783', 'phi/constraint': '4.185e-08', 'phi/lambda': '43.08', 'phi/obj': '2.805e-05', 'phi/violation_rate': '0.05928', 'sac/actor_loss': '-12.13', 'sac/alpha': '0.001334', 'sac/q_loss': '0.004012', 'sac/reward_mean': '0.002849'}
{'step': 29000, 'sps': '26', 'episodes': 145, 'metric/d_mean': '0.0002601', 'metric/d_nonzero': '0.1788', 'phi/constraint': '5.52e-08', 'phi/lambda': '39', 'phi/obj': '2.582e-05', 'phi/violation_rate': '0.05889', 'sac/actor_loss': '-11.59', 'sac/alpha': '0.001068', 'sac/q_loss': '0.006423', 'sac/reward_mean': '0.002627'}
{'step': 30000, 'sps': '26.1', 'episodes': 150, 'metric/d_mean': '0.000268', 'metric/d_nonzero': '0.1826', 'phi/constraint': '4.499e-08', 'phi/lambda': '37.96', 'phi/obj': '2.792e-05', 'phi/violation_rate': '0.06468', 'sac/actor_loss': '-11.13', 'sac/alpha': '0.0009398', 'sac/q_loss': '0.01238', 'sac/reward_mean': '0.002838'}
