run=stage2_comp_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '74.6', 'episodes': 3}
{'step': 2000, 'sps': '73.6', 'episodes': 6}
{'step': 3000, 'sps': '71.2', 'episodes': 10}
{'step': 4000, 'sps': '71.3', 'episodes': 13}
{'step': 22000, 'sps': '34.4', 'episodes': 73, 'metric/d_mean': '0.002402', 'metric/d_nonzero': '0.4183', 'phi/constraint': '0.0003866', 'phi/lambda': '3.466', 'phi/obj': '0.002202', 'phi/violation_rate': '0.4111', 'sac/actor_loss': '-30.02', 'sac/alpha': '0.03933', 'sac/q_loss': '5.034', 'sac/reward_mean': '0.2224'}
{'step': 23000, 'sps': '34', 'episodes': 76, 'metric/d_mean': '0.002543', 'metric/d_nonzero': '0.4345', 'phi/constraint': '0.0003945', 'phi/lambda': '3.519', 'phi/obj': '0.002429', 'phi/violation_rate': '0.4267', 'sac/actor_loss': '-31.38', 'sac/alpha': '0.04362', 'sac/q_loss': '5.45', 'sac/reward_mean': '0.2452'}
{'step': 24000, 'sps': '33.9', 'episodes': 80, 'metric/d_mean': '0.002458', 'metric/d_nonzero': '0.4408', 'phi/constraint': '0.0003541', 'phi/lambda': '3.706', 'phi/obj': '0.002363', 'phi/violation_rate': '0.4323', 'sac/actor_loss': '-32.29', 'sac/alpha': '0.04633', 'sac/q_loss': '5.537', 'sac/reward_mean': '0.2384'}
{'step': 25000, 'sps': '33.8', 'episodes': 83, 'metric/d_mean': '0.002631', 'metric/d_nonzero': '0.4529', 'phi/constraint': '0.0003851', 'phi/lambda': '3.564', 'phi/obj': '0.002616', 'phi/violation_rate': '0.4436', 'sac/actor_loss': '-33.39', 'sac/alpha': '0.04636', 'sac/q_loss': '6.357', 'sac/reward_mean': '0.264'}
{'step': 26000, 'sps': '33.8', 'episodes': 86, 'metric/d_mean': '0.002819', 'metric/d_nonzero': '0.4635', 'phi/constraint': '0.000427', 'phi/lambda': '3.682', 'phi/obj': '0.002774', 'phi/violation_rate': '0.4534', 'sac/actor_loss': '-34.88', 'sac/alpha': '0.04916', 'sac/q_loss': '6.803', 'sac/reward_mean': '0.2802'}
{'step': 27000, 'sps': '33.8', 'episodes': 90, 'metric/d_mean': '0.002737', 'metric/d_nonzero': '0.4745', 'phi/constraint': '0.0003897', 'phi/lambda': '3.723', 'phi/obj': '0.002684', 'phi/violation_rate': '0.4642', 'sac/actor_loss': '-36.28', 'sac/alpha': '0.04726', 'sac/q_loss': '6.429', 'sac/reward_mean': '0.271'}
{'step': 28000, 'sps': '33.7', 'episodes': 93, 'metric/d_mean': '0.00308', 'metric/d_nonzero': '0.4846', 'phi/constraint': '0.000531', 'phi/lambda': '3.503', 'phi/obj': '0.00276', 'phi/violation_rate': '0.4742', 'sac/actor_loss': '-37.22', 'sac/alpha': '0.04643', 'sac/q_loss': '6.897', 'sac/reward_mean': '0.2793'}
{'step': 29000, 'sps': '33.7', 'episodes': 96, 'metric/d_mean': '0.002992', 'metric/d_nonzero': '0.4943', 'phi/constraint': '0.0004383', 'phi/lambda': '3.41', 'phi/obj': '0.002915', 'phi/violation_rate': '0.4846', 'sac/actor_loss': '-38.19', 'sac/alpha': '0.04814', 'sac/q_loss': '7.203', 'sac/reward_mean': '0.2947'}
{'step': 30000, 'sps': '33.6', 'episodes': 100, 'metric/d_mean': '0.002972', 'metric/d_nonzero': '0.4948', 'phi/constraint': '0.0004176', 'phi/lambda': '3.498', 'phi/obj': '0.003115', 'phi/violation_rate': '0.4848', 'sac/actor_loss': '-39.89', 'sac/alpha': '0.04918', 'sac/q_loss': '7.459', 'sac/reward_mean': '0.3147'}
{'step': 31000, 'sps': '33.6', 'episodes': 103, 'metric/d_mean': '0.002908', 'metric/d_nonzero': '0.4985', 'phi/constraint': '0.000411', 'phi/lambda': '3.829', 'phi/obj': '0.003101', 'phi/violation_rate': '0.4893', 'sac/actor_loss': '-40.95', 'sac/alpha': '0.05123', 'sac/q_loss': '8.049', 'sac/reward_mean': '0.3135'}
