run=abl_fullstate_temporal_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.5', 'episodes': 5}
{'step': 2000, 'sps': '76.9', 'episodes': 10}
{'step': 3000, 'sps': '77', 'episodes': 15}
{'step': 4000, 'sps': '77.3', 'episodes': 20}
{'step': 22000, 'sps': '39.5', 'episodes': 110, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1705', 'phi/lambda': '0.3729', 'phi/obj': '0.4958', 'phi/violation_rate': '0.3722', 'sac/actor_loss': '-3514', 'sac/alpha': '2.43', 'sac/q_loss': '1084', 'sac/reward_mean': '49.64'}
{'step': 23000, 'sps': '39.2', 'episodes': 115, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1648', 'phi/lambda': '0.3781', 'phi/obj': '0.5027', 'phi/violation_rate': '0.3793', 'sac/actor_loss': '-3702', 'sac/alpha': '2.391', 'sac/q_loss': '1156', 'sac/reward_mean': '50.34'}
{'step': 24000, 'sps': '39', 'episodes': 120, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1628', 'phi/lambda': '0.3743', 'phi/obj': '0.5045', 'phi/violation_rate': '0.3796', 'sac/actor_loss': '-3871', 'sac/alpha': '2.369', 'sac/q_loss': '1172', 'sac/reward_mean': '50.52'}
{'step': 25000, 'sps': '38.8', 'episodes': 125, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1545', 'phi/lambda': '0.3758', 'phi/obj': '0.5152', 'phi/violation_rate': '0.3861', 'sac/actor_loss': '-4039', 'sac/alpha': '2.449', 'sac/q_loss': '1182', 'sac/reward_mean': '51.59'}
{'step': 26000, 'sps': '38.6', 'episodes': 130, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1509', 'phi/lambda': '0.3764', 'phi/obj': '0.523', 'phi/violation_rate': '0.3902', 'sac/actor_loss': '-4201', 'sac/alpha': '2.494', 'sac/q_loss': '1116', 'sac/reward_mean': '52.37'}
{'step': 27000, 'sps': '38.4', 'episodes': 135, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1463', 'phi/lambda': '0.3749', 'phi/obj': '0.5278', 'phi/violation_rate': '0.3914', 'sac/actor_loss': '-4342', 'sac/alpha': '2.503', 'sac/q_loss': '1114', 'sac/reward_mean': '52.85'}
{'step': 28000, 'sps': '38.3', 'episodes': 140, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1421', 'phi/lambda': '0.3808', 'phi/obj': '0.5357', 'phi/violation_rate': '0.3886', 'sac/actor_loss': '-4494', 'sac/alpha': '2.508', 'sac/q_loss': '1124', 'sac/reward_mean': '53.64'}
{'step': 29000, 'sps': '38.1', 'episodes': 145, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1369', 'phi/lambda': '0.3788', 'phi/obj': '0.5416', 'phi/violation_rate': '0.3971', 'sac/actor_loss': '-4625', 'sac/alpha': '2.516', 'sac/q_loss': '1100', 'sac/reward_mean': '54.23'}
{'step': 30000, 'sps': '38', 'episodes': 150, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.135', 'phi/lambda': '0.3817', 'phi/obj': '0.5478', 'phi/violation_rate': '0.3958', 'sac/actor_loss': '-4751', 'sac/alpha': '2.542', 'sac/q_loss': '1065', 'sac/reward_mean': '54.85'}
{'step': 31000, 'sps': '37.9', 'episodes': 155, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.1319', 'phi/lambda': '0.3839', 'phi/obj': '0.551', 'phi/violation_rate': '0.391', 'sac/actor_loss': '-4860', 'sac/alpha': '2.522', 'sac/q_loss': '1077', 'sac/reward_mean': '55.17'}
