run=tmsd_w2_rt_d4_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.9', 'episodes': 5}
{'step': 2000, 'sps': '67.8', 'episodes': 10}
{'step': 3000, 'sps': '68.3', 'episodes': 15}
{'step': 4000, 'sps': '68.7', 'episodes': 20}
{'step': 21000, 'sps': '27.3', 'episodes': 105, 'metric/d_mean': '0.00116', 'metric/d_nonzero': '0.1725', 'phi/constraint': '1.396e-06', 'phi/lambda': '11.13', 'phi/obj': '0.0001255', 'phi/violation_rate': '0.04628', 'sac/actor_loss': '-17.33', 'sac/alpha': '0.01014', 'sac/q_loss': '0.04323', 'sac/reward_mean': '0.01266'}
{'step': 22000, 'sps': '27.1', 'episodes': 110, 'metric/d_mean': '0.001173', 'metric/d_nonzero': '0.1735', 'phi/constraint': '1.351e-06', 'phi/lambda': '10.85', 'phi/obj': '0.000126', 'phi/violation_rate': '0.04747', 'sac/actor_loss': '-16.62', 'sac/alpha': '0.007829', 'sac/q_loss': '0.04464', 'sac/reward_mean': '0.01271'}
{'step': 23000, 'sps': '26.8', 'episodes': 115, 'metric/d_mean': '0.001164', 'metric/d_nonzero': '0.172', 'phi/constraint': '1.398e-06', 'phi/lambda': '10.42', 'phi/obj': '0.0001185', 'phi/violation_rate': '0.04788', 'sac/actor_loss': '-15.93', 'sac/alpha': '0.006114', 'sac/q_loss': '0.04374', 'sac/reward_mean': '0.01197'}
{'step': 24000, 'sps': '26.7', 'episodes': 120, 'metric/d_mean': '0.001171', 'metric/d_nonzero': '0.1727', 'phi/constraint': '1.398e-06', 'phi/lambda': '10.53', 'phi/obj': '0.0001184', 'phi/violation_rate': '0.04695', 'sac/actor_loss': '-15.29', 'sac/alpha': '0.004848', 'sac/q_loss': '0.04415', 'sac/reward_mean': '0.01196'}
{'step': 25000, 'sps': '26.5', 'episodes': 125, 'metric/d_mean': '0.001182', 'metric/d_nonzero': '0.1735', 'phi/constraint': '1.519e-06', 'phi/lambda': '10.43', 'phi/obj': '0.0001155', 'phi/violation_rate': '0.04623', 'sac/actor_loss': '-14.68', 'sac/alpha': '0.004001', 'sac/q_loss': '0.04355', 'sac/reward_mean': '0.01166'}
{'step': 26000, 'sps': '26.3', 'episodes': 130, 'metric/d_mean': '0.00118', 'metric/d_nonzero': '0.1726', 'phi/constraint': '1.335e-06', 'phi/lambda': '9.942', 'phi/obj': '0.0001149', 'phi/violation_rate': '0.04721', 'sac/actor_loss': '-14.11', 'sac/alpha': '0.003416', 'sac/q_loss': '0.04347', 'sac/reward_mean': '0.01161'}
{'step': 27000, 'sps': '26.2', 'episodes': 135, 'metric/d_mean': '0.001198', 'metric/d_nonzero': '0.1744', 'phi/constraint': '1.608e-06', 'phi/lambda': '9.48', 'phi/obj': '0.0001117', 'phi/violation_rate': '0.04579', 'sac/actor_loss': '-13.6', 'sac/alpha': '0.003073', 'sac/q_loss': '0.04361', 'sac/reward_mean': '0.01129'}
{'step': 28000, 'sps': '26.1', 'episodes': 140, 'metric/d_mean': '0.001215', 'metric/d_nonzero': '0.1765', 'phi/constraint': '1.545e-06', 'phi/lambda': '10', 'phi/obj': '0.0001167', 'phi/violation_rate': '0.04657', 'sac/actor_loss': '-13.12', 'sac/alpha': '0.00283', 'sac/q_loss': '0.04512', 'sac/reward_mean': '0.01179'}
{'step': 29000, 'sps': '25.9', 'episodes': 145, 'metric/d_mean': '0.001226', 'metric/d_nonzero': '0.1777', 'phi/constraint': '1.68e-06', 'phi/lambda': '9.894', 'phi/obj': '0.0001216', 'phi/violation_rate': '0.04638', 'sac/actor_loss': '-12.66', 'sac/alpha': '0.00272', 'sac/q_loss': '0.04558', 'sac/reward_mean': '0.01228'}
{'step': 30000, 'sps': '25.8', 'episodes': 150, 'metric/d_mean': '0.001247', 'metric/d_nonzero': '0.1794', 'phi/constraint': '1.519e-06', 'phi/lambda': '10.03', 'phi/obj': '0.0001266', 'phi/violation_rate': '0.04595', 'sac/actor_loss': '-12.21', 'sac/alpha': '0.002673', 'sac/q_loss': '0.05001', 'sac/reward_mean': '0.01279'}
{'step': 31000, 'sps': '25.7', 'episodes': 155, 'metric/d_mean': '0.001256', 'metric/d_nonzero': '0.1805', 'phi/constraint': '1.816e-06', 'phi/lambda': '10.48', 'phi/obj': '0.0001249', 'phi/violation_rate': '0.04155', 'sac/actor_loss': '-11.79', 'sac/alpha': '0.002778', 'sac/q_loss': '0.05169', 'sac/reward_mean': '0.01262'}
{'step': 32000, 'sps': '25.6', 'episodes': 160, 'metric/d_mean': '0.001265', 'metric/d_nonzero': '0.1815', 'phi/constraint': '1.713e-06', 'phi/lambda': '10.47', 'phi/obj': '0.0001309', 'phi/violation_rate': '0.0411', 'sac/actor_loss': '-11.42', 'sac/alpha': '0.003244', 'sac/q_loss': '0.05564', 'sac/reward_mean': '0.01322'}
{'step': 33000, 'sps': '25.5', 'episodes': 165, 'metric/d_mean': '0.001288', 'metric/d_nonzero': '0.1819', 'phi/constraint': '2.352e-06', 'phi/lambda': '11.14', 'phi/obj': '0.000118', 'phi/violation_rate': '0.03224', 'sac/actor_loss': '-11.07', 'sac/alpha': '0.003373', 'sac/q_loss': '0.06405', 'sac/reward_mean': '0.01193'}
{'step': 34000, 'sps': '25.4', 'episodes': 170, 'metric/d_mean': '0.001364', 'metric/d_nonzero': '0.1881', 'phi/constraint': '2.435e-06', 'phi/lambda': '9.304', 'phi/obj': '0.000132', 'phi/violation_rate': '0.03927', 'sac/actor_loss': '-10.77', 'sac/alpha': '0.00349', 'sac/q_loss': '0.07879', 'sac/reward_mean': '0.01333'}
{'step': 35000, 'sps': '25.4', 'episodes': 175, 'metric/d_mean': '0.001406', 'metric/d_nonzero': '0.191', 'phi/constraint': '1.835e-06', 'phi/lambda': '10.89', 'phi/obj': '0.0001677', 'phi/violation_rate': '0.03904', 'sac/actor_loss': '-10.49', 'sac/alpha': '0.003822', 'sac/q_loss': '0.09947', 'sac/reward_mean': '0.01691'}
{'step': 36000, 'sps': '25.3', 'episodes': 180, 'metric/d_mean': '0.001395', 'metric/d_nonzero': '0.1894', 'phi/constraint': '2.445e-06', 'phi/lambda': '11.6', 'phi/obj': '0.0001639', 'phi/violation_rate': '0.03204', 'sac/actor_loss': '-10.23', 'sac/alpha': '0.003916', 'sac/q_loss': '0.1077', 'sac/reward_mean': '0.01652'}
{'step': 37000, 'sps': '25.2', 'episodes': 185, 'metric/d_mean': '0.001466', 'metric/d_nonzero': '0.1961', 'phi/constraint': '2.531e-06', 'phi/lambda': '11.52', 'phi/obj': '0.0001805', 'phi/violation_rate': '0.03217', 'sac/actor_loss': '-10.07', 'sac/alpha': '0.004326', 'sac/q_loss': '0.1277', 'sac/reward_mean': '0.01819'}
{'step': 38000, 'sps': '25.1', 'episodes': 190, 'metric/d_mean': '0.001531', 'metric/d_nonzero': '0.2013', 'phi/constraint': '2.473e-06', 'phi/lambda': '12.2', 'phi/obj': '0.0002094', 'phi/violation_rate': '0.0338', 'sac/actor_loss': '-9.967', 'sac/alpha': '0.00464', 'sac/q_loss': '0.1403', 'sac/reward_mean': '0.02109'}
{'step': 39000, 'sps': '25.1', 'episodes': 195, 'metric/d_mean': '0.001583', 'metric/d_nonzero': '0.2059', 'phi/constraint': '2.94e-06', 'phi/lambda': '13.9', 'phi/obj': '0.0002337', 'phi/violation_rate': '0.02884', 'sac/actor_loss': '-9.876', 'sac/alpha': '0.005018', 'sac/q_loss': '0.152', 'sac/reward_mean': '0.02351'}
{'step': 40000, 'sps': '25', 'episodes': 200, 'metric/d_mean': '0.001612', 'metric/d_nonzero': '0.2076', 'phi/constraint': '3.256e-06', 'phi/lambda': '13.88', 'phi/obj': '0.000238', 'phi/violation_rate': '0.02829', 'sac/actor_loss': '-9.775', 'sac/alpha': '0.005499', 'sac/q_loss': '0.1471', 'sac/reward_mean': '0.02394'}
{'step': 41000, 'sps': '25', 'episodes': 205, 'metric/d_mean': '0.001645', 'metric/d_nonzero': '0.2102', 'phi/constraint': '3.513e-06', 'phi/lambda': '13.03', 'phi/obj': '0.0002321', 'phi/violation_rate': '0.02922', 'sac/actor_loss': '-9.654', 'sac/alpha': '0.005532', 'sac/q_loss': '0.1387', 'sac/reward_mean': '0.02337'}
{'step': 42000, 'sps': '24.9', 'episodes': 210, 'metric/d_mean': '0.001654', 'metric/d_nonzero': '0.2121', 'phi/constraint': '3.245e-06', 'phi/lambda': '12.22', 'phi/obj': '0.0002293', 'phi/violation_rate': '0.03281', 'sac/actor_loss': '-9.529', 'sac/alpha': '0.004939', 'sac/q_loss': '0.1326', 'sac/reward_mean': '0.02309'}
{'step': 43000, 'sps': '24.9', 'episodes': 215, 'metric/d_mean': '0.001711', 'metric/d_nonzero': '0.2176', 'phi/constraint': '3.345e-06', 'phi/lambda': '12.61', 'phi/obj': '0.0002407', 'phi/violation_rate': '0.03278', 'sac/actor_loss': '-9.534', 'sac/alpha': '0.00507', 'sac/q_loss': '0.1552', 'sac/reward_mean': '0.02423'}
{'step': 44000, 'sps': '24.8', 'episodes': 220, 'metric/d_mean': '0.001809', 'metric/d_nonzero': '0.2245', 'phi/constraint': '4.08e-06', 'phi/lambda': '12.19', 'phi/obj': '0.0002659', 'phi/violation_rate': '0.02781', 'sac/actor_loss': '-9.611', 'sac/alpha': '0.005228', 'sac/q_loss': '0.1594', 'sac/reward_mean': '0.02675'}
{'step': 45000, 'sps': '24.8', 'episodes': 225, 'metric/d_mean': '0.001963', 'metric/d_nonzero': '0.236', 'phi/constraint': '3.913e-06', 'phi/lambda': '12.56', 'phi/obj': '0.000296', 'phi/violation_rate': '0.033', 'sac/actor_loss': '-9.742', 'sac/alpha': '0.005826', 'sac/q_loss': '0.2298', 'sac/reward_mean': '0.02976'}
{'step': 46000, 'sps': '24.7', 'episodes': 230, 'metric/d_mean': '0.00208', 'metric/d_nonzero': '0.2437', 'phi/constraint': '4.416e-06', 'phi/lambda': '13.23', 'phi/obj': '0.0003426', 'phi/violation_rate': '0.03155', 'sac/actor_loss': '-9.996', 'sac/alpha': '0.00633', 'sac/q_loss': '0.2587', 'sac/reward_mean': '0.03442'}
{'step': 47000, 'sps': '24.7', 'episodes': 235, 'metric/d_mean': '0.002218', 'metric/d_nonzero': '0.2515', 'phi/constraint': '5.41e-06', 'phi/lambda': '14.19', 'phi/obj': '0.0004005', 'phi/violation_rate': '0.0288', 'sac/actor_loss': '-10.35', 'sac/alpha': '0.006888', 'sac/q_loss': '0.274', 'sac/reward_mean': '0.04022'}
{'step': 48000, 'sps': '24.6', 'episodes': 240, 'metric/d_mean': '0.002405', 'metric/d_nonzero': '0.2615', 'phi/constraint': '6.505e-06', 'phi/lambda': '13.99', 'phi/obj': '0.0004558', 'phi/violation_rate': '0.02906', 'sac/actor_loss': '-10.69', 'sac/alpha': '0.006994', 'sac/q_loss': '0.3835', 'sac/reward_mean': '0.04576'}
{'step': 49000, 'sps': '24.6', 'episodes': 245, 'metric/d_mean': '0.002537', 'metric/d_nonzero': '0.2684', 'phi/constraint': '6.951e-06', 'phi/lambda': '13.61', 'phi/obj': '0.0004867', 'phi/violation_rate': '0.03155', 'sac/actor_loss': '-10.89', 'sac/alpha': '0.00703', 'sac/q_loss': '0.451', 'sac/reward_mean': '0.04886'}
{'step': 50000, 'sps': '24.6', 'episodes': 250, 'metric/d_mean': '0.002699', 'metric/d_nonzero': '0.276', 'phi/constraint': '7.563e-06', 'phi/lambda': '13.94', 'phi/obj': '0.0005624', 'phi/violation_rate': '0.03279', 'sac/actor_loss': '-11.11', 'sac/alpha': '0.006883', 'sac/q_loss': '0.5109', 'sac/reward_mean': '0.05645'}
{'step': 51000, 'sps': '24.5', 'episodes': 255, 'metric/d_mean': '0.002837', 'metric/d_nonzero': '0.2831', 'phi/constraint': '7.616e-06', 'phi/lambda': '13.31', 'phi/obj': '0.0005936', 'phi/violation_rate': '0.03525', 'sac/actor_loss': '-11.28', 'sac/alpha': '0.006844', 'sac/q_loss': '0.5371', 'sac/reward_mean': '0.05959'}
