run=stage2_1d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '75.7', 'episodes': 3}
{'step': 2000, 'sps': '74.8', 'episodes': 6}
{'step': 3000, 'sps': '72.2', 'episodes': 10}
{'step': 4000, 'sps': '72.1', 'episodes': 13}
{'step': 21000, 'sps': '35.1', 'episodes': 70, 'metric/d_mean': '0.0001998', 'metric/d_nonzero': '0.1247', 'phi/constraint': '6.447e-08', 'phi/lambda': '107.7', 'phi/obj': '6.327e-05', 'phi/violation_rate': '0.01241', 'sac/actor_loss': '-16.98', 'sac/alpha': '0.009813', 'sac/q_loss': '0.02198', 'sac/reward_mean': '0.006366'}
{'step': 22000, 'sps': '34.5', 'episodes': 73, 'metric/d_mean': '0.0001966', 'metric/d_nonzero': '0.124', 'phi/constraint': '7.799e-08', 'phi/lambda': '114.5', 'phi/obj': '6.007e-05', 'phi/violation_rate': '0.01018', 'sac/actor_loss': '-16.23', 'sac/alpha': '0.007361', 'sac/q_loss': '0.02005', 'sac/reward_mean': '0.00604'}
{'step': 23000, 'sps': '34.1', 'episodes': 76, 'metric/d_mean': '0.0002021', 'metric/d_nonzero': '0.127', 'phi/constraint': '8.069e-08', 'phi/lambda': '116.7', 'phi/obj': '6.229e-05', 'phi/violation_rate': '0.01162', 'sac/actor_loss': '-15.53', 'sac/alpha': '0.005558', 'sac/q_loss': '0.0123', 'sac/reward_mean': '0.006262'}
{'step': 24000, 'sps': '33.9', 'episodes': 80, 'metric/d_mean': '0.0002202', 'metric/d_nonzero': '0.134', 'phi/constraint': '1.108e-07', 'phi/lambda': '111.2', 'phi/obj': '5.98e-05', 'phi/violation_rate': '0.01052', 'sac/actor_loss': '-14.85', 'sac/alpha': '0.004242', 'sac/q_loss': '0.01903', 'sac/reward_mean': '0.006016'}
{'step': 25000, 'sps': '33.9', 'episodes': 83, 'metric/d_mean': '0.0002991', 'metric/d_nonzero': '0.1515', 'phi/constraint': '2.499e-07', 'phi/lambda': '84.63', 'phi/obj': '7.468e-05', 'phi/violation_rate': '0.01495', 'sac/actor_loss': '-14.22', 'sac/alpha': '0.003321', 'sac/q_loss': '0.01921', 'sac/reward_mean': '0.007541'}
{'step': 26000, 'sps': '33.9', 'episodes': 86, 'metric/d_mean': '0.0003543', 'metric/d_nonzero': '0.168', 'phi/constraint': '1.577e-07', 'phi/lambda': '84.48', 'phi/obj': '0.0001217', 'phi/violation_rate': '0.02469', 'sac/actor_loss': '-13.65', 'sac/alpha': '0.002788', 'sac/q_loss': '0.01886', 'sac/reward_mean': '0.01225'}
{'step': 27000, 'sps': '33.8', 'episodes': 90, 'metric/d_mean': '0.000393', 'metric/d_nonzero': '0.1811', 'phi/constraint': '2.343e-07', 'phi/lambda': '98.43', 'phi/obj': '0.0001416', 'phi/violation_rate': '0.02304', 'sac/actor_loss': '-13.14', 'sac/alpha': '0.002556', 'sac/q_loss': '0.01871', 'sac/reward_mean': '0.01423'}
{'step': 28000, 'sps': '33.8', 'episodes': 93, 'metric/d_mean': '0.0004472', 'metric/d_nonzero': '0.1982', 'phi/constraint': '3.118e-07', 'phi/lambda': '96.3', 'phi/obj': '0.0001534', 'phi/violation_rate': '0.02701', 'sac/actor_loss': '-12.65', 'sac/alpha': '0.00247', 'sac/q_loss': '0.01755', 'sac/reward_mean': '0.01542'}
{'step': 29000, 'sps': '33.8', 'episodes': 96, 'metric/d_mean': '0.000468', 'metric/d_nonzero': '0.2074', 'phi/constraint': '3.086e-07', 'phi/lambda': '93.42', 'phi/obj': '0.0001577', 'phi/violation_rate': '0.02846', 'sac/actor_loss': '-12.19', 'sac/alpha': '0.002665', 'sac/q_loss': '0.01697', 'sac/reward_mean': '0.01585'}
{'step': 30000, 'sps': '33.7', 'episodes': 100, 'metric/d_mean': '0.0004986', 'metric/d_nonzero': '0.2149', 'phi/constraint': '3.516e-07', 'phi/lambda': '84.78', 'phi/obj': '0.0001534', 'phi/violation_rate': '0.03313', 'sac/actor_loss': '-11.82', 'sac/alpha': '0.003253', 'sac/q_loss': '0.01724', 'sac/reward_mean': '0.01543'}
