run=dads_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.7', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.8', 'episodes': 20}
{'step': 33000, 'sps': '31.5', 'episodes': 165, 'phi/obj': '-0.0003064', 'sac/actor_loss': '-94.27', 'sac/alpha': '0.08578', 'sac/q_loss': '9.018', 'sac/reward_mean': '0.7858'}
{'step': 34000, 'sps': '31.4', 'episodes': 170, 'phi/obj': '-0.0003185', 'sac/actor_loss': '-95.12', 'sac/alpha': '0.08624', 'sac/q_loss': '9.389', 'sac/reward_mean': '0.7892'}
{'step': 35000, 'sps': '31.3', 'episodes': 175, 'phi/obj': '-0.0003145', 'sac/actor_loss': '-96.19', 'sac/alpha': '0.08771', 'sac/q_loss': '9.196', 'sac/reward_mean': '0.7894'}
{'step': 36000, 'sps': '31.2', 'episodes': 180, 'phi/obj': '-0.0003189', 'sac/actor_loss': '-97.13', 'sac/alpha': '0.08637', 'sac/q_loss': '9.535', 'sac/reward_mean': '0.7859'}
{'step': 37000, 'sps': '31.2', 'episodes': 185, 'phi/obj': '-0.000339', 'sac/actor_loss': '-98.23', 'sac/alpha': '0.08677', 'sac/q_loss': '11.18', 'sac/reward_mean': '0.786'}
{'step': 38000, 'sps': '31.1', 'episodes': 190, 'phi/obj': '-0.0003262', 'sac/actor_loss': '-99.32', 'sac/alpha': '0.0841', 'sac/q_loss': '10.62', 'sac/reward_mean': '0.7923'}
{'step': 39000, 'sps': '31', 'episodes': 195, 'phi/obj': '-0.0003367', 'sac/actor_loss': '-99.87', 'sac/alpha': '0.08387', 'sac/q_loss': '12.09', 'sac/reward_mean': '0.7671'}
{'step': 40000, 'sps': '31', 'episodes': 200, 'phi/obj': '-0.0003411', 'sac/actor_loss': '-100.3', 'sac/alpha': '0.08004', 'sac/q_loss': '12.12', 'sac/reward_mean': '0.749'}
{'step': 41000, 'sps': '30.9', 'episodes': 205, 'phi/obj': '-0.0003479', 'sac/actor_loss': '-100.3', 'sac/alpha': '0.07956', 'sac/q_loss': '13.21', 'sac/reward_mean': '0.742'}
{'step': 42000, 'sps': '30.9', 'episodes': 210, 'phi/obj': '-0.0003314', 'sac/actor_loss': '-100.2', 'sac/alpha': '0.08171', 'sac/q_loss': '11.11', 'sac/reward_mean': '0.7492'}
{'step': 43000, 'sps': '30.8', 'episodes': 215, 'phi/obj': '-0.0003428', 'sac/actor_loss': '-100.2', 'sac/alpha': '0.0824', 'sac/q_loss': '12.85', 'sac/reward_mean': '0.7429'}
{'step': 44000, 'sps': '30.8', 'episodes': 220, 'phi/obj': '-0.0003275', 'sac/actor_loss': '-100.4', 'sac/alpha': '0.07901', 'sac/q_loss': '10.68', 'sac/reward_mean': '0.7462'}
{'step': 45000, 'sps': '30.7', 'episodes': 225, 'phi/obj': '-0.0003364', 'sac/actor_loss': '-100.6', 'sac/alpha': '0.07975', 'sac/q_loss': '11.34', 'sac/reward_mean': '0.7511'}
