run=mi_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.7', 'episodes': 5}
{'step': 2000, 'sps': '69.3', 'episodes': 10}
{'step': 3000, 'sps': '67.3', 'episodes': 15}
{'step': 4000, 'sps': '66.3', 'episodes': 20}
{'step': 34000, 'sps': '31', 'episodes': 170, 'phi/obj': '0.9459', 'sac/actor_loss': '-79.73', 'sac/alpha': '0.003824', 'sac/q_loss': '0.1151', 'sac/reward_mean': '0.9475'}
{'step': 35000, 'sps': '31', 'episodes': 175, 'phi/obj': '0.952', 'sac/actor_loss': '-80.61', 'sac/alpha': '0.004096', 'sac/q_loss': '0.09462', 'sac/reward_mean': '0.9536'}
{'step': 36000, 'sps': '31', 'episodes': 180, 'phi/obj': '0.9494', 'sac/actor_loss': '-81.41', 'sac/alpha': '0.004135', 'sac/q_loss': '0.07887', 'sac/reward_mean': '0.951'}
{'step': 37000, 'sps': '31', 'episodes': 185, 'phi/obj': '0.947', 'sac/actor_loss': '-82.16', 'sac/alpha': '0.004074', 'sac/q_loss': '0.08754', 'sac/reward_mean': '0.9485'}
{'step': 38000, 'sps': '31', 'episodes': 190, 'phi/obj': '0.9487', 'sac/actor_loss': '-82.83', 'sac/alpha': '0.00387', 'sac/q_loss': '0.07869', 'sac/reward_mean': '0.9503'}
{'step': 39000, 'sps': '31', 'episodes': 195, 'phi/obj': '0.9572', 'sac/actor_loss': '-83.47', 'sac/alpha': '0.003687', 'sac/q_loss': '0.06269', 'sac/reward_mean': '0.9587'}
{'step': 40000, 'sps': '31.1', 'episodes': 200, 'phi/obj': '0.9602', 'sac/actor_loss': '-84.1', 'sac/alpha': '0.003583', 'sac/q_loss': '0.06014', 'sac/reward_mean': '0.9615'}
{'step': 41000, 'sps': '31.1', 'episodes': 205, 'phi/obj': '0.9657', 'sac/actor_loss': '-84.74', 'sac/alpha': '0.00343', 'sac/q_loss': '0.05392', 'sac/reward_mean': '0.9669'}
{'step': 42000, 'sps': '31.1', 'episodes': 210, 'phi/obj': '0.9678', 'sac/actor_loss': '-85.34', 'sac/alpha': '0.003252', 'sac/q_loss': '0.05132', 'sac/reward_mean': '0.9689'}
{'step': 43000, 'sps': '31.1', 'episodes': 215, 'phi/obj': '0.9665', 'sac/actor_loss': '-85.95', 'sac/alpha': '0.003102', 'sac/q_loss': '0.05155', 'sac/reward_mean': '0.9677'}
{'step': 44000, 'sps': '31.1', 'episodes': 220, 'phi/obj': '0.9626', 'sac/actor_loss': '-86.52', 'sac/alpha': '0.003106', 'sac/q_loss': '0.05505', 'sac/reward_mean': '0.9639'}
{'step': 45000, 'sps': '31.1', 'episodes': 225, 'phi/obj': '0.9637', 'sac/actor_loss': '-87.03', 'sac/alpha': '0.002814', 'sac/q_loss': '0.04896', 'sac/reward_mean': '0.965'}
{'step': 46000, 'sps': '31.1', 'episodes': 230, 'phi/obj': '0.9633', 'sac/actor_loss': '-87.51', 'sac/alpha': '0.002922', 'sac/q_loss': '0.05071', 'sac/reward_mean': '0.9646'}
