run=abl_temporal_rt_d4_s1 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68.5', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69', 'episodes': 15}
{'step': 4000, 'sps': '69', 'episodes': 20}
{'step': 5000, 'sps': '69', 'episodes': 25}
{'step': 22000, 'sps': '25.7', 'episodes': 110, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6718', 'phi/lambda': '0.02247', 'phi/obj': '0.01646', 'phi/violation_rate': '0.0812', 'sac/actor_loss': '-297.7', 'sac/alpha': '0.5623', 'sac/q_loss': '1651', 'sac/reward_mean': '1.658'}
{'step': 23000, 'sps': '25.8', 'episodes': 115, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6303', 'phi/lambda': '0.02224', 'phi/obj': '0.01758', 'phi/violation_rate': '0.08818', 'sac/actor_loss': '-316', 'sac/alpha': '0.5855', 'sac/q_loss': '1807', 'sac/reward_mean': '1.769'}
{'step': 24000, 'sps': '25.9', 'episodes': 120, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6711', 'phi/lambda': '0.02334', 'phi/obj': '0.01588', 'phi/violation_rate': '0.08041', 'sac/actor_loss': '-333.9', 'sac/alpha': '0.5773', 'sac/q_loss': '1612', 'sac/reward_mean': '1.601'}
{'step': 25000, 'sps': '25.9', 'episodes': 125, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.614', 'phi/lambda': '0.02529', 'phi/obj': '0.01712', 'phi/violation_rate': '0.08836', 'sac/actor_loss': '-352.2', 'sac/alpha': '0.5997', 'sac/q_loss': '1896', 'sac/reward_mean': '1.725'}
{'step': 26000, 'sps': '26', 'episodes': 130, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6746', 'phi/lambda': '0.02561', 'phi/obj': '0.01586', 'phi/violation_rate': '0.08121', 'sac/actor_loss': '-367.6', 'sac/alpha': '0.5693', 'sac/q_loss': '1576', 'sac/reward_mean': '1.597'}
{'step': 27000, 'sps': '26', 'episodes': 135, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6576', 'phi/lambda': '0.0219', 'phi/obj': '0.01516', 'phi/violation_rate': '0.08365', 'sac/actor_loss': '-380.7', 'sac/alpha': '0.5436', 'sac/q_loss': '1625', 'sac/reward_mean': '1.526'}
{'step': 28000, 'sps': '26.1', 'episodes': 140, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.664', 'phi/lambda': '0.0202', 'phi/obj': '0.01536', 'phi/violation_rate': '0.08226', 'sac/actor_loss': '-394.4', 'sac/alpha': '0.5457', 'sac/q_loss': '1655', 'sac/reward_mean': '1.546'}
{'step': 29000, 'sps': '26.2', 'episodes': 145, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6294', 'phi/lambda': '0.02023', 'phi/obj': '0.01731', 'phi/violation_rate': '0.08613', 'sac/actor_loss': '-408.6', 'sac/alpha': '0.5463', 'sac/q_loss': '1812', 'sac/reward_mean': '1.741'}
{'step': 30000, 'sps': '26.2', 'episodes': 150, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6455', 'phi/lambda': '0.02306', 'phi/obj': '0.01527', 'phi/violation_rate': '0.08356', 'sac/actor_loss': '-420', 'sac/alpha': '0.548', 'sac/q_loss': '1758', 'sac/reward_mean': '1.538'}
{'step': 31000, 'sps': '26.2', 'episodes': 155, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6617', 'phi/lambda': '0.02321', 'phi/obj': '0.01533', 'phi/violation_rate': '0.08043', 'sac/actor_loss': '-429.4', 'sac/alpha': '0.5332', 'sac/q_loss': '1713', 'sac/reward_mean': '1.545'}
{'step': 32000, 'sps': '26.3', 'episodes': 160, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6558', 'phi/lambda': '0.02137', 'phi/obj': '0.01535', 'phi/violation_rate': '0.081', 'sac/actor_loss': '-440.6', 'sac/alpha': '0.5491', 'sac/q_loss': '1721', 'sac/reward_mean': '1.547'}
{'step': 33000, 'sps': '26.3', 'episodes': 165, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6595', 'phi/lambda': '0.01892', 'phi/obj': '0.01513', 'phi/violation_rate': '0.08063', 'sac/actor_loss': '-449.5', 'sac/alpha': '0.5482', 'sac/q_loss': '1683', 'sac/reward_mean': '1.524'}
{'step': 34000, 'sps': '26.3', 'episodes': 170, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6296', 'phi/lambda': '0.02121', 'phi/obj': '0.01652', 'phi/violation_rate': '0.08464', 'sac/actor_loss': '-459.7', 'sac/alpha': '0.5447', 'sac/q_loss': '1838', 'sac/reward_mean': '1.664'}
{'step': 35000, 'sps': '26.4', 'episodes': 175, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6703', 'phi/lambda': '0.02086', 'phi/obj': '0.01466', 'phi/violation_rate': '0.07797', 'sac/actor_loss': '-467.5', 'sac/alpha': '0.53', 'sac/q_loss': '1641', 'sac/reward_mean': '1.478'}
{'step': 36000, 'sps': '26.4', 'episodes': 180, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6445', 'phi/lambda': '0.02009', 'phi/obj': '0.01521', 'phi/violation_rate': '0.08141', 'sac/actor_loss': '-475.1', 'sac/alpha': '0.5336', 'sac/q_loss': '1787', 'sac/reward_mean': '1.533'}
{'step': 37000, 'sps': '26.4', 'episodes': 185, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6371', 'phi/lambda': '0.02236', 'phi/obj': '0.01625', 'phi/violation_rate': '0.08323', 'sac/actor_loss': '-484.1', 'sac/alpha': '0.5256', 'sac/q_loss': '1830', 'sac/reward_mean': '1.637'}
{'step': 38000, 'sps': '26.5', 'episodes': 190, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6565', 'phi/lambda': '0.022', 'phi/obj': '0.01562', 'phi/violation_rate': '0.08095', 'sac/actor_loss': '-488.6', 'sac/alpha': '0.5157', 'sac/q_loss': '1687', 'sac/reward_mean': '1.574'}
{'step': 39000, 'sps': '26.5', 'episodes': 195, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6438', 'phi/lambda': '0.02323', 'phi/obj': '0.01567', 'phi/violation_rate': '0.08394', 'sac/actor_loss': '-495.5', 'sac/alpha': '0.5221', 'sac/q_loss': '1781', 'sac/reward_mean': '1.578'}
{'step': 40000, 'sps': '26.5', 'episodes': 200, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6534', 'phi/lambda': '0.02278', 'phi/obj': '0.0162', 'phi/violation_rate': '0.0818', 'sac/actor_loss': '-501.2', 'sac/alpha': '0.5073', 'sac/q_loss': '1728', 'sac/reward_mean': '1.631'}
{'step': 41000, 'sps': '26.6', 'episodes': 205, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6527', 'phi/lambda': '0.02271', 'phi/obj': '0.0158', 'phi/violation_rate': '0.08161', 'sac/actor_loss': '-507.2', 'sac/alpha': '0.5097', 'sac/q_loss': '1699', 'sac/reward_mean': '1.592'}
{'step': 42000, 'sps': '26.6', 'episodes': 210, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6511', 'phi/lambda': '0.02145', 'phi/obj': '0.01565', 'phi/violation_rate': '0.0824', 'sac/actor_loss': '-512.9', 'sac/alpha': '0.5016', 'sac/q_loss': '1741', 'sac/reward_mean': '1.577'}
