run=dads_soil_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '64', 'episodes': 5}
{'step': 2000, 'sps': '65', 'episodes': 10}
{'step': 3000, 'sps': '65', 'episodes': 15}
{'step': 4000, 'sps': '65', 'episodes': 20}
{'step': 33000, 'sps': '31.6', 'episodes': 165, 'phi/obj': '-1.579e-08', 'sac/actor_loss': '-9.589', 'sac/alpha': '0.000556', 'sac/q_loss': '0.006234', 'sac/reward_mean': '0.0004429'}
{'step': 34000, 'sps': '31.6', 'episodes': 170, 'phi/obj': '-1.565e-08', 'sac/actor_loss': '-9.136', 'sac/alpha': '0.0006397', 'sac/q_loss': '0.003859', 'sac/reward_mean': '0.0004064'}
{'step': 35000, 'sps': '31.5', 'episodes': 175, 'phi/obj': '-1.582e-08', 'sac/actor_loss': '-8.697', 'sac/alpha': '0.0006299', 'sac/q_loss': '0.005198', 'sac/reward_mean': '0.0003679'}
{'step': 36000, 'sps': '31.4', 'episodes': 180, 'phi/obj': '-1.562e-08', 'sac/actor_loss': '-8.284', 'sac/alpha': '0.0005976', 'sac/q_loss': '0.003107', 'sac/reward_mean': '0.0003198'}
{'step': 37000, 'sps': '31.3', 'episodes': 185, 'phi/obj': '-1.523e-08', 'sac/actor_loss': '-7.894', 'sac/alpha': '0.0005735', 'sac/q_loss': '0.003557', 'sac/reward_mean': '0.0002939'}
{'step': 38000, 'sps': '31.3', 'episodes': 190, 'phi/obj': '-1.497e-08', 'sac/actor_loss': '-7.526', 'sac/alpha': '0.0005714', 'sac/q_loss': '0.003019', 'sac/reward_mean': '0.0002697'}
{'step': 39000, 'sps': '31.2', 'episodes': 195, 'phi/obj': '-1.495e-08', 'sac/actor_loss': '-7.18', 'sac/alpha': '0.000588', 'sac/q_loss': '0.003707', 'sac/reward_mean': '0.0002496'}
{'step': 40000, 'sps': '31.2', 'episodes': 200, 'phi/obj': '-1.535e-08', 'sac/actor_loss': '-6.856', 'sac/alpha': '0.0006248', 'sac/q_loss': '0.002723', 'sac/reward_mean': '0.0002281'}
{'step': 41000, 'sps': '31.1', 'episodes': 205, 'phi/obj': '-1.581e-08', 'sac/actor_loss': '-6.548', 'sac/alpha': '0.000639', 'sac/q_loss': '0.003036', 'sac/reward_mean': '0.0002061'}
{'step': 42000, 'sps': '31', 'episodes': 210, 'phi/obj': '-1.574e-08', 'sac/actor_loss': '-6.249', 'sac/alpha': '0.0006276', 'sac/q_loss': '0.002257', 'sac/reward_mean': '0.0001903'}
{'step': 43000, 'sps': '31', 'episodes': 215, 'phi/obj': '-1.621e-08', 'sac/actor_loss': '-5.966', 'sac/alpha': '0.0006186', 'sac/q_loss': '0.003848', 'sac/reward_mean': '0.0001753'}
{'step': 44000, 'sps': '31', 'episodes': 220, 'phi/obj': '-1.676e-08', 'sac/actor_loss': '-5.702', 'sac/alpha': '0.000574', 'sac/q_loss': '0.00245', 'sac/reward_mean': '0.0001589'}
{'step': 45000, 'sps': '30.9', 'episodes': 225, 'phi/obj': '-1.682e-08', 'sac/actor_loss': '-5.447', 'sac/alpha': '0.0005682', 'sac/q_loss': '0.001981', 'sac/reward_mean': '0.0001454'}
{'step': 46000, 'sps': '30.9', 'episodes': 230, 'phi/obj': '-1.723e-08', 'sac/actor_loss': '-5.208', 'sac/alpha': '0.0005682', 'sac/q_loss': '0.001541', 'sac/reward_mean': '0.0001336'}
{'step': 47000, 'sps': '30.8', 'episodes': 235, 'phi/obj': '-1.746e-08', 'sac/actor_loss': '-4.977', 'sac/alpha': '0.000559', 'sac/q_loss': '0.001041', 'sac/reward_mean': '0.0001218'}
{'step': 48000, 'sps': '30.8', 'episodes': 240, 'phi/obj': '-1.751e-08', 'sac/actor_loss': '-4.755', 'sac/alpha': '0.0005756', 'sac/q_loss': '0.00101', 'sac/reward_mean': '0.0001119'}
{'step': 49000, 'sps': '30.8', 'episodes': 245, 'phi/obj': '-1.755e-08', 'sac/actor_loss': '-4.542', 'sac/alpha': '0.0005468', 'sac/q_loss': '0.001111', 'sac/reward_mean': '0.0001027'}
{'step': 50000, 'sps': '30.7', 'episodes': 250, 'phi/obj': '-1.717e-08', 'sac/actor_loss': '-4.334', 'sac/alpha': '0.0005156', 'sac/q_loss': '0.001073', 'sac/reward_mean': '9.521e-05'}
{'step': 51000, 'sps': '30.7', 'episodes': 255, 'phi/obj': '-1.725e-08', 'sac/actor_loss': '-4.135', 'sac/alpha': '0.0005037', 'sac/q_loss': '0.0006625', 'sac/reward_mean': '8.778e-05'}
{'step': 52000, 'sps': '30.7', 'episodes': 260, 'phi/obj': '-1.737e-08', 'sac/actor_loss': '-3.949', 'sac/alpha': '0.0004955', 'sac/q_loss': '0.0006083', 'sac/reward_mean': '7.939e-05'}
{'step': 53000, 'sps': '30.6', 'episodes': 265, 'phi/obj': '-1.771e-08', 'sac/actor_loss': '-3.772', 'sac/alpha': '0.0004753', 'sac/q_loss': '0.0005946', 'sac/reward_mean': '7.383e-05'}
{'step': 54000, 'sps': '30.6', 'episodes': 270, 'phi/obj': '-1.754e-08', 'sac/actor_loss': '-3.603', 'sac/alpha': '0.0004625', 'sac/q_loss': '0.0004859', 'sac/reward_mean': '6.806e-05'}
{'step': 55000, 'sps': '30.6', 'episodes': 275, 'phi/obj': '-1.739e-08', 'sac/actor_loss': '-3.438', 'sac/alpha': '0.0004438', 'sac/q_loss': '0.0004824', 'sac/reward_mean': '6.311e-05'}
{'step': 56000, 'sps': '30.5', 'episodes': 280, 'phi/obj': '-1.743e-08', 'sac/actor_loss': '-3.283', 'sac/alpha': '0.0004177', 'sac/q_loss': '0.0003745', 'sac/reward_mean': '5.827e-05'}
{'step': 57000, 'sps': '30.5', 'episodes': 285, 'phi/obj': '-1.716e-08', 'sac/actor_loss': '-3.136', 'sac/alpha': '0.0003872', 'sac/q_loss': '0.000301', 'sac/reward_mean': '5.43e-05'}
{'step': 58000, 'sps': '30.5', 'episodes': 290, 'phi/obj': '-1.722e-08', 'sac/actor_loss': '-2.994', 'sac/alpha': '0.000369', 'sac/q_loss': '0.0002545', 'sac/reward_mean': '5.091e-05'}
{'step': 59000, 'sps': '30.5', 'episodes': 295, 'phi/obj': '-1.705e-08', 'sac/actor_loss': '-2.858', 'sac/alpha': '0.0003785', 'sac/q_loss': '0.0001899', 'sac/reward_mean': '4.705e-05'}
{'step': 60000, 'sps': '30.4', 'episodes': 300, 'phi/obj': '-1.712e-08', 'sac/actor_loss': '-2.729', 'sac/alpha': '0.0003643', 'sac/q_loss': '0.0001867', 'sac/reward_mean': '4.354e-05'}
{'step': 61000, 'sps': '30.4', 'episodes': 305, 'phi/obj': '-1.718e-08', 'sac/actor_loss': '-2.605', 'sac/alpha': '0.0003552', 'sac/q_loss': '0.0001881', 'sac/reward_mean': '4.084e-05'}
{'step': 62000, 'sps': '30.4', 'episodes': 310, 'phi/obj': '-1.717e-08', 'sac/actor_loss': '-2.489', 'sac/alpha': '0.0003354', 'sac/q_loss': '0.0001486', 'sac/reward_mean': '3.795e-05'}
