run=abl_temporal_rt_d4_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.6', 'episodes': 5}
{'step': 2000, 'sps': '77.4', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.6', 'episodes': 20}
{'step': 22000, 'sps': '39.8', 'episodes': 110, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6325', 'phi/lambda': '0.02757', 'phi/obj': '0.01985', 'phi/violation_rate': '0.08494', 'sac/actor_loss': '-365.3', 'sac/alpha': '0.8029', 'sac/q_loss': '2821', 'sac/reward_mean': '1.995'}
{'step': 23000, 'sps': '39.5', 'episodes': 115, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6803', 'phi/lambda': '0.02533', 'phi/obj': '0.01722', 'phi/violation_rate': '0.07782', 'sac/actor_loss': '-397.3', 'sac/alpha': '0.8866', 'sac/q_loss': '4260', 'sac/reward_mean': '1.734'}
{'step': 24000, 'sps': '39.3', 'episodes': 120, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6416', 'phi/lambda': '0.02273', 'phi/obj': '0.01819', 'phi/violation_rate': '0.08438', 'sac/actor_loss': '-432.6', 'sac/alpha': '0.9426', 'sac/q_loss': '4127', 'sac/reward_mean': '1.829'}
{'step': 25000, 'sps': '39.1', 'episodes': 125, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6439', 'phi/lambda': '0.02487', 'phi/obj': '0.01707', 'phi/violation_rate': '0.08366', 'sac/actor_loss': '-478.1', 'sac/alpha': '1.031', 'sac/q_loss': '1.501e+04', 'sac/reward_mean': '1.719'}
{'step': 26000, 'sps': '38.9', 'episodes': 130, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.616', 'phi/lambda': '0.0278', 'phi/obj': '0.01967', 'phi/violation_rate': '0.08986', 'sac/actor_loss': '-724.6', 'sac/alpha': '1.188', 'sac/q_loss': '8.21e+04', 'sac/reward_mean': '1.978'}
{'step': 27000, 'sps': '38.8', 'episodes': 135, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6771', 'phi/lambda': '0.02933', 'phi/obj': '0.01431', 'phi/violation_rate': '0.07623', 'sac/actor_loss': '-1853', 'sac/alpha': '1.79', 'sac/q_loss': '1.442e+05', 'sac/reward_mean': '1.443'}
{'step': 28000, 'sps': '38.6', 'episodes': 140, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6421', 'phi/lambda': '0.02345', 'phi/obj': '0.01339', 'phi/violation_rate': '0.08213', 'sac/actor_loss': '-3208', 'sac/alpha': '2.447', 'sac/q_loss': '1.806e+05', 'sac/reward_mean': '1.352'}
{'step': 29000, 'sps': '38.5', 'episodes': 145, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6302', 'phi/lambda': '0.02114', 'phi/obj': '0.01431', 'phi/violation_rate': '0.09091', 'sac/actor_loss': '-4491', 'sac/alpha': '3.316', 'sac/q_loss': '2.092e+05', 'sac/reward_mean': '1.447'}
{'step': 30000, 'sps': '38.3', 'episodes': 150, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.63', 'phi/lambda': '0.02205', 'phi/obj': '0.01533', 'phi/violation_rate': '0.09567', 'sac/actor_loss': '-5809', 'sac/alpha': '4.394', 'sac/q_loss': '2.663e+05', 'sac/reward_mean': '1.549'}
{'step': 31000, 'sps': '38.2', 'episodes': 155, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6083', 'phi/lambda': '0.02219', 'phi/obj': '0.01815', 'phi/violation_rate': '0.1034', 'sac/actor_loss': '-7002', 'sac/alpha': '5.648', 'sac/q_loss': '2.97e+05', 'sac/reward_mean': '1.832'}
{'step': 32000, 'sps': '38.1', 'episodes': 160, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.6002', 'phi/lambda': '0.02283', 'phi/obj': '0.01756', 'phi/violation_rate': '0.1064', 'sac/actor_loss': '-7936', 'sac/alpha': '6.991', 'sac/q_loss': '3.455e+05', 'sac/reward_mean': '1.772'}
{'step': 33000, 'sps': '38', 'episodes': 165, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5954', 'phi/lambda': '0.02428', 'phi/obj': '0.01945', 'phi/violation_rate': '0.1076', 'sac/actor_loss': '-8786', 'sac/alpha': '8.284', 'sac/q_loss': '3.35e+05', 'sac/reward_mean': '1.961'}
{'step': 34000, 'sps': '37.9', 'episodes': 170, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5725', 'phi/lambda': '0.02626', 'phi/obj': '0.02401', 'phi/violation_rate': '0.1123', 'sac/actor_loss': '-9594', 'sac/alpha': '9.13', 'sac/q_loss': '3.274e+05', 'sac/reward_mean': '2.417'}
{'step': 35000, 'sps': '37.8', 'episodes': 175, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5794', 'phi/lambda': '0.03461', 'phi/obj': '0.03007', 'phi/violation_rate': '0.1063', 'sac/actor_loss': '-1.03e+04', 'sac/alpha': '8.966', 'sac/q_loss': '3.428e+05', 'sac/reward_mean': '3.025'}
{'step': 36000, 'sps': '37.7', 'episodes': 180, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5898', 'phi/lambda': '0.03908', 'phi/obj': '0.03299', 'phi/violation_rate': '0.1062', 'sac/actor_loss': '-1.087e+04', 'sac/alpha': '8.631', 'sac/q_loss': '3.294e+05', 'sac/reward_mean': '3.317'}
