run=dads_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.9', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.9', 'episodes': 20}
{'step': 5000, 'sps': '65', 'episodes': 25}
{'step': 33000, 'sps': '31.5', 'episodes': 165, 'phi/obj': '-1.572e-08', 'sac/actor_loss': '-9.547', 'sac/alpha': '0.0004965', 'sac/q_loss': '0.0002146', 'sac/reward_mean': '0.0003783'}
{'step': 34000, 'sps': '31.4', 'episodes': 170, 'phi/obj': '-1.508e-08', 'sac/actor_loss': '-9.098', 'sac/alpha': '0.0004934', 'sac/q_loss': '0.0002313', 'sac/reward_mean': '0.0003504'}
{'step': 35000, 'sps': '31.4', 'episodes': 175, 'phi/obj': '-1.506e-08', 'sac/actor_loss': '-8.673', 'sac/alpha': '0.0004995', 'sac/q_loss': '0.0001983', 'sac/reward_mean': '0.0003215'}
{'step': 36000, 'sps': '31.3', 'episodes': 180, 'phi/obj': '-1.477e-08', 'sac/actor_loss': '-8.267', 'sac/alpha': '0.0005098', 'sac/q_loss': '0.0001822', 'sac/reward_mean': '0.0003022'}
{'step': 37000, 'sps': '31.2', 'episodes': 185, 'phi/obj': '-1.474e-08', 'sac/actor_loss': '-7.886', 'sac/alpha': '0.000555', 'sac/q_loss': '0.0001911', 'sac/reward_mean': '0.0002837'}
{'step': 38000, 'sps': '31.1', 'episodes': 190, 'phi/obj': '-1.482e-08', 'sac/actor_loss': '-7.522', 'sac/alpha': '0.0005865', 'sac/q_loss': '0.0001791', 'sac/reward_mean': '0.000265'}
{'step': 39000, 'sps': '31.1', 'episodes': 195, 'phi/obj': '-1.467e-08', 'sac/actor_loss': '-7.175', 'sac/alpha': '0.0006149', 'sac/q_loss': '0.001906', 'sac/reward_mean': '0.0002462'}
{'step': 40000, 'sps': '31', 'episodes': 200, 'phi/obj': '-1.477e-08', 'sac/actor_loss': '-6.844', 'sac/alpha': '0.0006066', 'sac/q_loss': '0.001587', 'sac/reward_mean': '0.0002248'}
{'step': 41000, 'sps': '31', 'episodes': 205, 'phi/obj': '-1.444e-08', 'sac/actor_loss': '-6.529', 'sac/alpha': '0.0005446', 'sac/q_loss': '0.0005209', 'sac/reward_mean': '0.0002048'}
{'step': 42000, 'sps': '30.9', 'episodes': 210, 'phi/obj': '-1.416e-08', 'sac/actor_loss': '-6.228', 'sac/alpha': '0.0005212', 'sac/q_loss': '0.000882', 'sac/reward_mean': '0.0001898'}
{'step': 43000, 'sps': '30.9', 'episodes': 215, 'phi/obj': '-1.403e-08', 'sac/actor_loss': '-5.94', 'sac/alpha': '0.0005052', 'sac/q_loss': '0.0004978', 'sac/reward_mean': '0.0001754'}
{'step': 44000, 'sps': '30.8', 'episodes': 220, 'phi/obj': '-1.37e-08', 'sac/actor_loss': '-5.662', 'sac/alpha': '0.0005114', 'sac/q_loss': '0.0009484', 'sac/reward_mean': '0.0001623'}
{'step': 45000, 'sps': '30.8', 'episodes': 225, 'phi/obj': '-1.387e-08', 'sac/actor_loss': '-5.4', 'sac/alpha': '0.0005224', 'sac/q_loss': '0.0007595', 'sac/reward_mean': '0.0001513'}
{'step': 46000, 'sps': '30.7', 'episodes': 230, 'phi/obj': '-1.346e-08', 'sac/actor_loss': '-5.15', 'sac/alpha': '0.0005171', 'sac/q_loss': '0.000537', 'sac/reward_mean': '0.0001409'}
{'step': 47000, 'sps': '30.7', 'episodes': 235, 'phi/obj': '-1.342e-08', 'sac/actor_loss': '-4.912', 'sac/alpha': '0.0005289', 'sac/q_loss': '0.000708', 'sac/reward_mean': '0.0001317'}
{'step': 48000, 'sps': '30.6', 'episodes': 240, 'phi/obj': '-1.311e-08', 'sac/actor_loss': '-4.684', 'sac/alpha': '0.0005014', 'sac/q_loss': '0.0006308', 'sac/reward_mean': '0.0001236'}
{'step': 49000, 'sps': '30.6', 'episodes': 245, 'phi/obj': '-1.281e-08', 'sac/actor_loss': '-4.465', 'sac/alpha': '0.0004461', 'sac/q_loss': '0.0004569', 'sac/reward_mean': '0.0001157'}
{'step': 50000, 'sps': '30.6', 'episodes': 250, 'phi/obj': '-1.28e-08', 'sac/actor_loss': '-4.257', 'sac/alpha': '0.0004453', 'sac/q_loss': '0.0005608', 'sac/reward_mean': '0.0001087'}
{'step': 51000, 'sps': '30.5', 'episodes': 255, 'phi/obj': '-1.267e-08', 'sac/actor_loss': '-4.061', 'sac/alpha': '0.0004347', 'sac/q_loss': '0.0002559', 'sac/reward_mean': '0.000101'}
{'step': 52000, 'sps': '30.5', 'episodes': 260, 'phi/obj': '-1.254e-08', 'sac/actor_loss': '-3.872', 'sac/alpha': '0.0004401', 'sac/q_loss': '0.0007672', 'sac/reward_mean': '9.497e-05'}
{'step': 53000, 'sps': '30.5', 'episodes': 265, 'phi/obj': '-1.233e-08', 'sac/actor_loss': '-3.695', 'sac/alpha': '0.0004453', 'sac/q_loss': '0.0006224', 'sac/reward_mean': '8.916e-05'}
{'step': 54000, 'sps': '30.4', 'episodes': 270, 'phi/obj': '-1.219e-08', 'sac/actor_loss': '-3.529', 'sac/alpha': '0.0004655', 'sac/q_loss': '0.0004029', 'sac/reward_mean': '8.344e-05'}
{'step': 55000, 'sps': '30.4', 'episodes': 275, 'phi/obj': '-1.228e-08', 'sac/actor_loss': '-3.369', 'sac/alpha': '0.0004413', 'sac/q_loss': '0.0002808', 'sac/reward_mean': '7.824e-05'}
{'step': 56000, 'sps': '30.4', 'episodes': 280, 'phi/obj': '-1.221e-08', 'sac/actor_loss': '-3.216', 'sac/alpha': '0.000442', 'sac/q_loss': '0.000406', 'sac/reward_mean': '7.283e-05'}
{'step': 57000, 'sps': '30.4', 'episodes': 285, 'phi/obj': '-1.194e-08', 'sac/actor_loss': '-3.068', 'sac/alpha': '0.0004325', 'sac/q_loss': '0.0004557', 'sac/reward_mean': '6.785e-05'}
{'step': 58000, 'sps': '30.3', 'episodes': 290, 'phi/obj': '-1.186e-08', 'sac/actor_loss': '-2.929', 'sac/alpha': '0.0004321', 'sac/q_loss': '0.0004401', 'sac/reward_mean': '6.338e-05'}
{'step': 59000, 'sps': '30.3', 'episodes': 295, 'phi/obj': '-1.17e-08', 'sac/actor_loss': '-2.794', 'sac/alpha': '0.0004138', 'sac/q_loss': '0.0003211', 'sac/reward_mean': '5.88e-05'}
{'step': 60000, 'sps': '30.3', 'episodes': 300, 'phi/obj': '-1.157e-08', 'sac/actor_loss': '-2.667', 'sac/alpha': '0.0004008', 'sac/q_loss': '0.000234', 'sac/reward_mean': '5.567e-05'}
{'step': 61000, 'sps': '30.3', 'episodes': 305, 'phi/obj': '-1.163e-08', 'sac/actor_loss': '-2.544', 'sac/alpha': '0.0003936', 'sac/q_loss': '0.000362', 'sac/reward_mean': '5.164e-05'}
{'step': 62000, 'sps': '30.2', 'episodes': 310, 'phi/obj': '-1.148e-08', 'sac/actor_loss': '-2.427', 'sac/alpha': '0.0003637', 'sac/q_loss': '0.0002599', 'sac/reward_mean': '4.829e-05'}
{'step': 63000, 'sps': '30.2', 'episodes': 315, 'phi/obj': '-1.128e-08', 'sac/actor_loss': '-2.314', 'sac/alpha': '0.0003482', 'sac/q_loss': '0.0003331', 'sac/reward_mean': '4.538e-05'}
{'step': 64000, 'sps': '30.2', 'episodes': 320, 'phi/obj': '-1.135e-08', 'sac/actor_loss': '-2.206', 'sac/alpha': '0.0003348', 'sac/q_loss': '0.0002153', 'sac/reward_mean': '4.267e-05'}
{'step': 65000, 'sps': '30.2', 'episodes': 325, 'phi/obj': '-1.119e-08', 'sac/actor_loss': '-2.104', 'sac/alpha': '0.0003343', 'sac/q_loss': '0.0003327', 'sac/reward_mean': '4.027e-05'}
{'step': 66000, 'sps': '30.2', 'episodes': 330, 'phi/obj': '-1.106e-08', 'sac/actor_loss': '-2.005', 'sac/alpha': '0.0003294', 'sac/q_loss': '0.000297', 'sac/reward_mean': '3.794e-05'}
{'step': 67000, 'sps': '30.1', 'episodes': 335, 'phi/obj': '-1.1e-08', 'sac/actor_loss': '-1.911', 'sac/alpha': '0.0003139', 'sac/q_loss': '0.0003435', 'sac/reward_mean': '3.56e-05'}
{'step': 68000, 'sps': '30.1', 'episodes': 340, 'phi/obj': '-1.087e-08', 'sac/actor_loss': '-1.824', 'sac/alpha': '0.0003139', 'sac/q_loss': '0.0002029', 'sac/reward_mean': '3.303e-05'}
{'step': 69000, 'sps': '30.1', 'episodes': 345, 'phi/obj': '-1.083e-08', 'sac/actor_loss': '-1.738', 'sac/alpha': '0.0003021', 'sac/q_loss': '0.000242', 'sac/reward_mean': '3.052e-05'}
{'step': 70000, 'sps': '30.1', 'episodes': 350, 'phi/obj': '-1.06e-08', 'sac/actor_loss': '-1.656', 'sac/alpha': '0.0002823', 'sac/q_loss': '0.0002434', 'sac/reward_mean': '2.848e-05'}
{'step': 71000, 'sps': '30.1', 'episodes': 355, 'phi/obj': '-1.074e-08', 'sac/actor_loss': '-1.576', 'sac/alpha': '0.0002651', 'sac/q_loss': '0.0002032', 'sac/reward_mean': '2.672e-05'}
{'step': 72000, 'sps': '30', 'episodes': 360, 'phi/obj': '-1.061e-08', 'sac/actor_loss': '-1.501', 'sac/alpha': '0.0002387', 'sac/q_loss': '0.0001869', 'sac/reward_mean': '2.504e-05'}
{'step': 73000, 'sps': '30', 'episodes': 365, 'phi/obj': '-1.058e-08', 'sac/actor_loss': '-1.43', 'sac/alpha': '0.0002298', 'sac/q_loss': '0.0001679', 'sac/reward_mean': '2.344e-05'}
{'step': 74000, 'sps': '30', 'episodes': 370, 'phi/obj': '-1.03e-08', 'sac/actor_loss': '-1.362', 'sac/alpha': '0.0002119', 'sac/q_loss': '0.0001208', 'sac/reward_mean': '2.223e-05'}
{'step': 75000, 'sps': '30', 'episodes': 375, 'phi/obj': '-1.042e-08', 'sac/actor_loss': '-1.299', 'sac/alpha': '0.0002068', 'sac/q_loss': '0.0001003', 'sac/reward_mean': '2.114e-05'}
{'step': 76000, 'sps': '30', 'episodes': 380, 'phi/obj': '-1.042e-08', 'sac/actor_loss': '-1.238', 'sac/alpha': '0.0001925', 'sac/q_loss': '9.365e-05', 'sac/reward_mean': '2.004e-05'}
{'step': 77000, 'sps': '30', 'episodes': 385, 'phi/obj': '-1.045e-08', 'sac/actor_loss': '-1.181', 'sac/alpha': '0.000182', 'sac/q_loss': '7.727e-05', 'sac/reward_mean': '1.905e-05'}
{'step': 78000, 'sps': '30', 'episodes': 390, 'phi/obj': '-1.037e-08', 'sac/actor_loss': '-1.126', 'sac/alpha': '0.0001711', 'sac/q_loss': '6.988e-05', 'sac/reward_mean': '1.803e-05'}
{'step': 79000, 'sps': '29.9', 'episodes': 395, 'phi/obj': '-1.034e-08', 'sac/actor_loss': '-1.075', 'sac/alpha': '0.0001559', 'sac/q_loss': '5.651e-05', 'sac/reward_mean': '1.708e-05'}
{'step': 80000, 'sps': '29.9', 'episodes': 400, 'phi/obj': '-1.038e-08', 'sac/actor_loss': '-1.026', 'sac/alpha': '0.0001498', 'sac/q_loss': '4.169e-05', 'sac/reward_mean': '1.611e-05'}
{'step': 81000, 'sps': '29.9', 'episodes': 405, 'phi/obj': '-1.02e-08', 'sac/actor_loss': '-0.979', 'sac/alpha': '0.0001416', 'sac/q_loss': '3.549e-05', 'sac/reward_mean': '1.527e-05'}
{'step': 82000, 'sps': '29.9', 'episodes': 410, 'phi/obj': '-1.018e-08', 'sac/actor_loss': '-0.9346', 'sac/alpha': '0.0001432', 'sac/q_loss': '3.263e-05', 'sac/reward_mean': '1.438e-05'}
{'step': 83000, 'sps': '29.9', 'episodes': 415, 'phi/obj': '-1.028e-08', 'sac/actor_loss': '-0.8925', 'sac/alpha': '0.0001428', 'sac/q_loss': '2.613e-05', 'sac/reward_mean': '1.368e-05'}
{'step': 84000, 'sps': '29.9', 'episodes': 420, 'phi/obj': '-1.023e-08', 'sac/actor_loss': '-0.8526', 'sac/alpha': '0.0001398', 'sac/q_loss': '2.119e-05', 'sac/reward_mean': '1.297e-05'}
{'step': 85000, 'sps': '29.9', 'episodes': 425, 'phi/obj': '-1.025e-08', 'sac/actor_loss': '-0.8144', 'sac/alpha': '0.0001324', 'sac/q_loss': '2.05e-05', 'sac/reward_mean': '1.232e-05'}
{'step': 86000, 'sps': '29.9', 'episodes': 430, 'phi/obj': '-1.026e-08', 'sac/actor_loss': '-0.7781', 'sac/alpha': '0.0001205', 'sac/q_loss': '1.534e-05', 'sac/reward_mean': '1.176e-05'}
{'step': 87000, 'sps': '29.9', 'episodes': 435, 'phi/obj': '-1.029e-08', 'sac/actor_loss': '-0.7438', 'sac/alpha': '0.0001129', 'sac/q_loss': '1.521e-05', 'sac/reward_mean': '1.115e-05'}
{'step': 88000, 'sps': '29.8', 'episodes': 440, 'phi/obj': '-1.011e-08', 'sac/actor_loss': '-0.7107', 'sac/alpha': '0.0001082', 'sac/q_loss': '1.296e-05', 'sac/reward_mean': '1.058e-05'}
{'step': 89000, 'sps': '29.8', 'episodes': 445, 'phi/obj': '-1.007e-08', 'sac/actor_loss': '-0.679', 'sac/alpha': '9.816e-05', 'sac/q_loss': '1.191e-05', 'sac/reward_mean': '1.007e-05'}
{'step': 90000, 'sps': '29.8', 'episodes': 450, 'phi/obj': '-1.006e-08', 'sac/actor_loss': '-0.6488', 'sac/alpha': '9.176e-05', 'sac/q_loss': '1.013e-05', 'sac/reward_mean': '9.622e-06'}
{'step': 91000, 'sps': '29.8', 'episodes': 455, 'phi/obj': '-9.943e-09', 'sac/actor_loss': '-0.6197', 'sac/alpha': '8.692e-05', 'sac/q_loss': '1.104e-05', 'sac/reward_mean': '9.203e-06'}
{'step': 92000, 'sps': '29.8', 'episodes': 460, 'phi/obj': '-9.903e-09', 'sac/actor_loss': '-0.5925', 'sac/alpha': '8.335e-05', 'sac/q_loss': '9.982e-06', 'sac/reward_mean': '8.658e-06'}
{'step': 93000, 'sps': '29.8', 'episodes': 465, 'phi/obj': '-9.886e-09', 'sac/actor_loss': '-0.5665', 'sac/alpha': '7.705e-05', 'sac/q_loss': '7.983e-06', 'sac/reward_mean': '8.267e-06'}
