run=tmsd_sw2_2d_s0 metric=sliced_w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '66.6', 'episodes': 5}
{'step': 2000, 'sps': '67.7', 'episodes': 10}
{'step': 3000, 'sps': '68.1', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 21000, 'sps': '26.5', 'episodes': 105, 'metric/d_mean': '0.001117', 'metric/d_nonzero': '0.2621', 'phi/constraint': '8.553e-07', 'phi/lambda': '26.14', 'phi/obj': '0.000188', 'phi/violation_rate': '0.05852', 'sac/actor_loss': '-17.62', 'sac/alpha': '0.01018', 'sac/q_loss': '0.03412', 'sac/reward_mean': '0.01897'}
{'step': 22000, 'sps': '26.2', 'episodes': 110, 'metric/d_mean': '0.001112', 'metric/d_nonzero': '0.2616', 'phi/constraint': '8.553e-07', 'phi/lambda': '23.52', 'phi/obj': '0.0001776', 'phi/violation_rate': '0.06052', 'sac/actor_loss': '-16.93', 'sac/alpha': '0.007709', 'sac/q_loss': '0.0325', 'sac/reward_mean': '0.01792'}
{'step': 23000, 'sps': '26', 'episodes': 115, 'metric/d_mean': '0.001116', 'metric/d_nonzero': '0.2629', 'phi/constraint': '8.253e-07', 'phi/lambda': '25.18', 'phi/obj': '0.000181', 'phi/violation_rate': '0.05896', 'sac/actor_loss': '-16.23', 'sac/alpha': '0.005879', 'sac/q_loss': '0.03273', 'sac/reward_mean': '0.01826'}
{'step': 24000, 'sps': '25.9', 'episodes': 120, 'metric/d_mean': '0.00112', 'metric/d_nonzero': '0.2643', 'phi/constraint': '8.967e-07', 'phi/lambda': '24.68', 'phi/obj': '0.0001742', 'phi/violation_rate': '0.058', 'sac/actor_loss': '-15.58', 'sac/alpha': '0.004555', 'sac/q_loss': '0.03314', 'sac/reward_mean': '0.01757'}
{'step': 25000, 'sps': '25.7', 'episodes': 125, 'metric/d_mean': '0.001115', 'metric/d_nonzero': '0.2637', 'phi/constraint': '8.316e-07', 'phi/lambda': '24.41', 'phi/obj': '0.0001754', 'phi/violation_rate': '0.05898', 'sac/actor_loss': '-14.94', 'sac/alpha': '0.003605', 'sac/q_loss': '0.03312', 'sac/reward_mean': '0.0177'}
{'step': 26000, 'sps': '25.6', 'episodes': 130, 'metric/d_mean': '0.001114', 'metric/d_nonzero': '0.263', 'phi/constraint': '8.885e-07', 'phi/lambda': '24.25', 'phi/obj': '0.0001694', 'phi/violation_rate': '0.05821', 'sac/actor_loss': '-14.34', 'sac/alpha': '0.002893', 'sac/q_loss': '0.03284', 'sac/reward_mean': '0.0171'}
{'step': 27000, 'sps': '25.4', 'episodes': 135, 'metric/d_mean': '0.001109', 'metric/d_nonzero': '0.2617', 'phi/constraint': '8.744e-07', 'phi/lambda': '23.13', 'phi/obj': '0.0001644', 'phi/violation_rate': '0.05749', 'sac/actor_loss': '-13.76', 'sac/alpha': '0.002367', 'sac/q_loss': '0.03204', 'sac/reward_mean': '0.0166'}
{'step': 28000, 'sps': '25.3', 'episodes': 140, 'metric/d_mean': '0.00112', 'metric/d_nonzero': '0.2634', 'phi/constraint': '9.347e-07', 'phi/lambda': '22.29', 'phi/obj': '0.0001584', 'phi/violation_rate': '0.05799', 'sac/actor_loss': '-13.23', 'sac/alpha': '0.00194', 'sac/q_loss': '0.03266', 'sac/reward_mean': '0.01599'}
{'step': 29000, 'sps': '25.1', 'episodes': 145, 'metric/d_mean': '0.001116', 'metric/d_nonzero': '0.263', 'phi/constraint': '8.941e-07', 'phi/lambda': '22.11', 'phi/obj': '0.0001574', 'phi/violation_rate': '0.05685', 'sac/actor_loss': '-12.72', 'sac/alpha': '0.001719', 'sac/q_loss': '0.03262', 'sac/reward_mean': '0.0159'}
{'step': 30000, 'sps': '25', 'episodes': 150, 'metric/d_mean': '0.001117', 'metric/d_nonzero': '0.2621', 'phi/constraint': '8.591e-07', 'phi/lambda': '21.4', 'phi/obj': '0.0001545', 'phi/violation_rate': '0.05954', 'sac/actor_loss': '-12.23', 'sac/alpha': '0.001688', 'sac/q_loss': '0.03266', 'sac/reward_mean': '0.0156'}
{'step': 31000, 'sps': '24.9', 'episodes': 155, 'metric/d_mean': '0.001108', 'metric/d_nonzero': '0.2613', 'phi/constraint': '8.733e-07', 'phi/lambda': '21.3', 'phi/obj': '0.0001507', 'phi/violation_rate': '0.05752', 'sac/actor_loss': '-11.76', 'sac/alpha': '0.001713', 'sac/q_loss': '0.03222', 'sac/reward_mean': '0.01522'}
{'step': 32000, 'sps': '24.8', 'episodes': 160, 'metric/d_mean': '0.001101', 'metric/d_nonzero': '0.2604', 'phi/constraint': '8.673e-07', 'phi/lambda': '21', 'phi/obj': '0.0001456', 'phi/violation_rate': '0.0598', 'sac/actor_loss': '-11.32', 'sac/alpha': '0.00182', 'sac/q_loss': '0.03094', 'sac/reward_mean': '0.01471'}
{'step': 33000, 'sps': '24.8', 'episodes': 165, 'metric/d_mean': '0.001098', 'metric/d_nonzero': '0.2588', 'phi/constraint': '8.459e-07', 'phi/lambda': '19.4', 'phi/obj': '0.0001444', 'phi/violation_rate': '0.05875', 'sac/actor_loss': '-10.87', 'sac/alpha': '0.001653', 'sac/q_loss': '0.03132', 'sac/reward_mean': '0.01459'}
{'step': 34000, 'sps': '24.7', 'episodes': 170, 'metric/d_mean': '0.001098', 'metric/d_nonzero': '0.2588', 'phi/constraint': '9.396e-07', 'phi/lambda': '20.86', 'phi/obj': '0.0001398', 'phi/violation_rate': '0.05363', 'sac/actor_loss': '-10.46', 'sac/alpha': '0.00159', 'sac/q_loss': '0.03069', 'sac/reward_mean': '0.01412'}
{'step': 35000, 'sps': '24.6', 'episodes': 175, 'metric/d_mean': '0.001085', 'metric/d_nonzero': '0.2552', 'phi/constraint': '9.62e-07', 'phi/lambda': '19.94', 'phi/obj': '0.0001406', 'phi/violation_rate': '0.052', 'sac/actor_loss': '-10.07', 'sac/alpha': '0.001636', 'sac/q_loss': '0.03013', 'sac/reward_mean': '0.0142'}
