run=abl_euclid_2d_s0 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '68', 'episodes': 5}
{'step': 2000, 'sps': '68.9', 'episodes': 10}
{'step': 3000, 'sps': '69.3', 'episodes': 15}
{'step': 4000, 'sps': '69.5', 'episodes': 20}
{'step': 21000, 'sps': '27.9', 'episodes': 105, 'metric/d_mean': '0.0003945', 'metric/d_nonzero': '0.2617', 'phi/constraint': '9.503e-08', 'phi/lambda': '66.1', 'phi/obj': '7.139e-05', 'phi/violation_rate': '0.07195', 'sac/actor_loss': '-17.14', 'sac/alpha': '0.009755', 'sac/q_loss': '0.005358', 'sac/reward_mean': '0.007216'}
{'step': 22000, 'sps': '27.6', 'episodes': 110, 'metric/d_mean': '0.0003954', 'metric/d_nonzero': '0.2631', 'phi/constraint': '7.721e-08', 'phi/lambda': '62.76', 'phi/obj': '6.895e-05', 'phi/violation_rate': '0.07669', 'sac/actor_loss': '-16.4', 'sac/alpha': '0.007276', 'sac/q_loss': '0.005175', 'sac/reward_mean': '0.006972'}
{'step': 23000, 'sps': '27.4', 'episodes': 115, 'metric/d_mean': '0.0003938', 'metric/d_nonzero': '0.2622', 'phi/constraint': '8.086e-08', 'phi/lambda': '63.63', 'phi/obj': '6.824e-05', 'phi/violation_rate': '0.07034', 'sac/actor_loss': '-15.66', 'sac/alpha': '0.005436', 'sac/q_loss': '0.005104', 'sac/reward_mean': '0.006899'}
{'step': 24000, 'sps': '27.2', 'episodes': 120, 'metric/d_mean': '0.000395', 'metric/d_nonzero': '0.2641', 'phi/constraint': '9.568e-08', 'phi/lambda': '60.11', 'phi/obj': '6.545e-05', 'phi/violation_rate': '0.07147', 'sac/actor_loss': '-14.95', 'sac/alpha': '0.004075', 'sac/q_loss': '0.005045', 'sac/reward_mean': '0.006619'}
{'step': 25000, 'sps': '27.1', 'episodes': 125, 'metric/d_mean': '0.0003915', 'metric/d_nonzero': '0.2621', 'phi/constraint': '7.904e-08', 'phi/lambda': '61.61', 'phi/obj': '6.695e-05', 'phi/violation_rate': '0.07002', 'sac/actor_loss': '-14.27', 'sac/alpha': '0.003069', 'sac/q_loss': '0.005079', 'sac/reward_mean': '0.006766'}
{'step': 26000, 'sps': '26.9', 'episodes': 130, 'metric/d_mean': '0.0003932', 'metric/d_nonzero': '0.263', 'phi/constraint': '8.924e-08', 'phi/lambda': '61.18', 'phi/obj': '6.49e-05', 'phi/violation_rate': '0.07215', 'sac/actor_loss': '-13.62', 'sac/alpha': '0.002329', 'sac/q_loss': '0.005129', 'sac/reward_mean': '0.006561'}
{'step': 27000, 'sps': '26.7', 'episodes': 135, 'metric/d_mean': '0.0003919', 'metric/d_nonzero': '0.2616', 'phi/constraint': '8.433e-08', 'phi/lambda': '58.61', 'phi/obj': '6.333e-05', 'phi/violation_rate': '0.07367', 'sac/actor_loss': '-12.99', 'sac/alpha': '0.001787', 'sac/q_loss': '0.005069', 'sac/reward_mean': '0.006402'}
{'step': 28000, 'sps': '26.6', 'episodes': 140, 'metric/d_mean': '0.0003947', 'metric/d_nonzero': '0.2632', 'phi/constraint': '9.493e-08', 'phi/lambda': '57.56', 'phi/obj': '6.054e-05', 'phi/violation_rate': '0.07045', 'sac/actor_loss': '-12.4', 'sac/alpha': '0.001394', 'sac/q_loss': '0.005036', 'sac/reward_mean': '0.006123'}
{'step': 29000, 'sps': '26.5', 'episodes': 145, 'metric/d_mean': '0.0003945', 'metric/d_nonzero': '0.263', 'phi/constraint': '9.479e-08', 'phi/lambda': '55.82', 'phi/obj': '5.962e-05', 'phi/violation_rate': '0.06841', 'sac/actor_loss': '-11.83', 'sac/alpha': '0.001113', 'sac/q_loss': '0.00504', 'sac/reward_mean': '0.006028'}
{'step': 30000, 'sps': '26.4', 'episodes': 150, 'metric/d_mean': '0.0003955', 'metric/d_nonzero': '0.2627', 'phi/constraint': '8.05e-08', 'phi/lambda': '53.48', 'phi/obj': '5.933e-05', 'phi/violation_rate': '0.07121', 'sac/actor_loss': '-11.29', 'sac/alpha': '0.0009091', 'sac/q_loss': '0.005015', 'sac/reward_mean': '0.006001'}
