run=mi_full_s0 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.5', 'episodes': 5}
{'step': 2000, 'sps': '69.1', 'episodes': 10}
{'step': 3000, 'sps': '67.2', 'episodes': 15}
{'step': 4000, 'sps': '66.2', 'episodes': 20}
{'step': 34000, 'sps': '30.9', 'episodes': 170, 'phi/obj': '0.9886', 'sac/actor_loss': '-84.35', 'sac/alpha': '0.008213', 'sac/q_loss': '0.2338', 'sac/reward_mean': '0.9898'}
{'step': 35000, 'sps': '31', 'episodes': 175, 'phi/obj': '0.989', 'sac/actor_loss': '-85.14', 'sac/alpha': '0.007794', 'sac/q_loss': '0.1843', 'sac/reward_mean': '0.9901'}
{'step': 36000, 'sps': '31', 'episodes': 180, 'phi/obj': '0.988', 'sac/actor_loss': '-85.89', 'sac/alpha': '0.007691', 'sac/q_loss': '0.1758', 'sac/reward_mean': '0.9892'}
{'step': 37000, 'sps': '31', 'episodes': 185, 'phi/obj': '0.9889', 'sac/actor_loss': '-86.66', 'sac/alpha': '0.007834', 'sac/q_loss': '0.1923', 'sac/reward_mean': '0.9901'}
{'step': 38000, 'sps': '31', 'episodes': 190, 'phi/obj': '0.9894', 'sac/actor_loss': '-87.43', 'sac/alpha': '0.00791', 'sac/q_loss': '0.1643', 'sac/reward_mean': '0.9906'}
{'step': 39000, 'sps': '31', 'episodes': 195, 'phi/obj': '0.9903', 'sac/actor_loss': '-88.15', 'sac/alpha': '0.00804', 'sac/q_loss': '0.1371', 'sac/reward_mean': '0.9914'}
{'step': 40000, 'sps': '31', 'episodes': 200, 'phi/obj': '0.9897', 'sac/actor_loss': '-88.82', 'sac/alpha': '0.008048', 'sac/q_loss': '0.1402', 'sac/reward_mean': '0.9909'}
{'step': 41000, 'sps': '31', 'episodes': 205, 'phi/obj': '0.9892', 'sac/actor_loss': '-89.42', 'sac/alpha': '0.008142', 'sac/q_loss': '0.1589', 'sac/reward_mean': '0.9905'}
{'step': 42000, 'sps': '31', 'episodes': 210, 'phi/obj': '0.9906', 'sac/actor_loss': '-90.02', 'sac/alpha': '0.007849', 'sac/q_loss': '0.1334', 'sac/reward_mean': '0.9917'}
{'step': 43000, 'sps': '31', 'episodes': 215, 'phi/obj': '0.9896', 'sac/actor_loss': '-90.58', 'sac/alpha': '0.007582', 'sac/q_loss': '0.1698', 'sac/reward_mean': '0.9908'}
{'step': 44000, 'sps': '31', 'episodes': 220, 'phi/obj': '0.9896', 'sac/actor_loss': '-91.1', 'sac/alpha': '0.007174', 'sac/q_loss': '0.1102', 'sac/reward_mean': '0.9909'}
{'step': 45000, 'sps': '31', 'episodes': 225, 'phi/obj': '0.9897', 'sac/actor_loss': '-91.6', 'sac/alpha': '0.006841', 'sac/q_loss': '0.1361', 'sac/reward_mean': '0.9909'}
{'step': 46000, 'sps': '31', 'episodes': 230, 'phi/obj': '0.9897', 'sac/actor_loss': '-92.05', 'sac/alpha': '0.006602', 'sac/q_loss': '0.1215', 'sac/reward_mean': '0.991'}
{'step': 47000, 'sps': '31', 'episodes': 235, 'phi/obj': '0.989', 'sac/actor_loss': '-92.49', 'sac/alpha': '0.006594', 'sac/q_loss': '0.114', 'sac/reward_mean': '0.9903'}
{'step': 48000, 'sps': '31', 'episodes': 240, 'phi/obj': '0.9874', 'sac/actor_loss': '-92.86', 'sac/alpha': '0.006745', 'sac/q_loss': '0.1179', 'sac/reward_mean': '0.9888'}
{'step': 49000, 'sps': '31', 'episodes': 245, 'phi/obj': '0.9885', 'sac/actor_loss': '-93.25', 'sac/alpha': '0.006773', 'sac/q_loss': '0.08644', 'sac/reward_mean': '0.9898'}
{'step': 50000, 'sps': '31', 'episodes': 250, 'phi/obj': '0.9885', 'sac/actor_loss': '-93.63', 'sac/alpha': '0.006623', 'sac/q_loss': '0.07144', 'sac/reward_mean': '0.9899'}
{'step': 51000, 'sps': '31', 'episodes': 255, 'phi/obj': '0.988', 'sac/actor_loss': '-93.96', 'sac/alpha': '0.006475', 'sac/q_loss': '0.08361', 'sac/reward_mean': '0.9894'}
{'step': 52000, 'sps': '31', 'episodes': 260, 'phi/obj': '0.9871', 'sac/actor_loss': '-94.31', 'sac/alpha': '0.006294', 'sac/q_loss': '0.07347', 'sac/reward_mean': '0.9886'}
{'step': 53000, 'sps': '31', 'episodes': 265, 'phi/obj': '0.987', 'sac/actor_loss': '-94.63', 'sac/alpha': '0.006023', 'sac/q_loss': '0.08859', 'sac/reward_mean': '0.9885'}
{'step': 54000, 'sps': '31', 'episodes': 270, 'phi/obj': '0.9873', 'sac/actor_loss': '-94.93', 'sac/alpha': '0.005941', 'sac/q_loss': '0.06279', 'sac/reward_mean': '0.9888'}
{'step': 55000, 'sps': '31', 'episodes': 275, 'phi/obj': '0.9873', 'sac/actor_loss': '-95.19', 'sac/alpha': '0.005775', 'sac/q_loss': '0.06385', 'sac/reward_mean': '0.9888'}
{'step': 56000, 'sps': '31', 'episodes': 280, 'phi/obj': '0.988', 'sac/actor_loss': '-95.45', 'sac/alpha': '0.00575', 'sac/q_loss': '0.05455', 'sac/reward_mean': '0.9894'}
{'step': 57000, 'sps': '31', 'episodes': 285, 'phi/obj': '0.9883', 'sac/actor_loss': '-95.69', 'sac/alpha': '0.005623', 'sac/q_loss': '0.06094', 'sac/reward_mean': '0.9897'}
{'step': 58000, 'sps': '31', 'episodes': 290, 'phi/obj': '0.9875', 'sac/actor_loss': '-95.9', 'sac/alpha': '0.005463', 'sac/q_loss': '0.0602', 'sac/reward_mean': '0.989'}
{'step': 59000, 'sps': '31', 'episodes': 295, 'phi/obj': '0.9885', 'sac/actor_loss': '-96.12', 'sac/alpha': '0.005362', 'sac/q_loss': '0.04616', 'sac/reward_mean': '0.9898'}
{'step': 60000, 'sps': '31', 'episodes': 300, 'phi/obj': '0.9874', 'sac/actor_loss': '-96.31', 'sac/alpha': '0.005174', 'sac/q_loss': '0.04899', 'sac/reward_mean': '0.9889'}
{'step': 61000, 'sps': '31', 'episodes': 305, 'phi/obj': '0.9874', 'sac/actor_loss': '-96.49', 'sac/alpha': '0.005029', 'sac/q_loss': '0.05013', 'sac/reward_mean': '0.9889'}
{'step': 62000, 'sps': '31', 'episodes': 310, 'phi/obj': '0.9878', 'sac/actor_loss': '-96.68', 'sac/alpha': '0.004929', 'sac/q_loss': '0.04832', 'sac/reward_mean': '0.9893'}
{'step': 63000, 'sps': '31', 'episodes': 315, 'phi/obj': '0.9875', 'sac/actor_loss': '-96.85', 'sac/alpha': '0.00485', 'sac/q_loss': '0.05162', 'sac/reward_mean': '0.989'}
{'step': 64000, 'sps': '31', 'episodes': 320, 'phi/obj': '0.9879', 'sac/actor_loss': '-97', 'sac/alpha': '0.004722', 'sac/q_loss': '0.04742', 'sac/reward_mean': '0.9893'}
{'step': 65000, 'sps': '31', 'episodes': 325, 'phi/obj': '0.9884', 'sac/actor_loss': '-97.15', 'sac/alpha': '0.004614', 'sac/q_loss': '0.04266', 'sac/reward_mean': '0.9898'}
{'step': 66000, 'sps': '31', 'episodes': 330, 'phi/obj': '0.9872', 'sac/actor_loss': '-97.29', 'sac/alpha': '0.004476', 'sac/q_loss': '0.04143', 'sac/reward_mean': '0.9887'}
{'step': 67000, 'sps': '31', 'episodes': 335, 'phi/obj': '0.9883', 'sac/actor_loss': '-97.4', 'sac/alpha': '0.0044', 'sac/q_loss': '0.04295', 'sac/reward_mean': '0.9896'}
{'step': 68000, 'sps': '31', 'episodes': 340, 'phi/obj': '0.9882', 'sac/actor_loss': '-97.5', 'sac/alpha': '0.004287', 'sac/q_loss': '0.03329', 'sac/reward_mean': '0.9896'}
{'step': 69000, 'sps': '31', 'episodes': 345, 'phi/obj': '0.9879', 'sac/actor_loss': '-97.62', 'sac/alpha': '0.004216', 'sac/q_loss': '0.03817', 'sac/reward_mean': '0.9894'}
{'step': 70000, 'sps': '31', 'episodes': 350, 'phi/obj': '0.9878', 'sac/actor_loss': '-97.7', 'sac/alpha': '0.00409', 'sac/q_loss': '0.03332', 'sac/reward_mean': '0.9893'}
{'step': 71000, 'sps': '31', 'episodes': 355, 'phi/obj': '0.9869', 'sac/actor_loss': '-97.78', 'sac/alpha': '0.003925', 'sac/q_loss': '0.04425', 'sac/reward_mean': '0.9885'}
{'step': 72000, 'sps': '31', 'episodes': 360, 'phi/obj': '0.9879', 'sac/actor_loss': '-97.84', 'sac/alpha': '0.003862', 'sac/q_loss': '0.03675', 'sac/reward_mean': '0.9894'}
{'step': 73000, 'sps': '31.1', 'episodes': 365, 'phi/obj': '0.9876', 'sac/actor_loss': '-97.92', 'sac/alpha': '0.003663', 'sac/q_loss': '0.03499', 'sac/reward_mean': '0.9891'}
{'step': 74000, 'sps': '31.1', 'episodes': 370, 'phi/obj': '0.9869', 'sac/actor_loss': '-97.98', 'sac/alpha': '0.003614', 'sac/q_loss': '0.03288', 'sac/reward_mean': '0.9885'}
{'step': 75000, 'sps': '31.1', 'episodes': 375, 'phi/obj': '0.9854', 'sac/actor_loss': '-98.05', 'sac/alpha': '0.003421', 'sac/q_loss': '0.03516', 'sac/reward_mean': '0.9871'}
{'step': 76000, 'sps': '31.1', 'episodes': 380, 'phi/obj': '0.9861', 'sac/actor_loss': '-98.12', 'sac/alpha': '0.003291', 'sac/q_loss': '0.03322', 'sac/reward_mean': '0.9878'}
{'step': 77000, 'sps': '31.1', 'episodes': 385, 'phi/obj': '0.9861', 'sac/actor_loss': '-98.18', 'sac/alpha': '0.003131', 'sac/q_loss': '0.04256', 'sac/reward_mean': '0.9878'}
{'step': 78000, 'sps': '31.1', 'episodes': 390, 'phi/obj': '0.9864', 'sac/actor_loss': '-98.2', 'sac/alpha': '0.003008', 'sac/q_loss': '0.03645', 'sac/reward_mean': '0.9881'}
{'step': 79000, 'sps': '31.1', 'episodes': 395, 'phi/obj': '0.9867', 'sac/actor_loss': '-98.23', 'sac/alpha': '0.002943', 'sac/q_loss': '0.03569', 'sac/reward_mean': '0.9883'}
{'step': 80000, 'sps': '31.1', 'episodes': 400, 'phi/obj': '0.9849', 'sac/actor_loss': '-98.24', 'sac/alpha': '0.002829', 'sac/q_loss': '0.0398', 'sac/reward_mean': '0.9867'}
{'step': 81000, 'sps': '31.1', 'episodes': 405, 'phi/obj': '0.9857', 'sac/actor_loss': '-98.24', 'sac/alpha': '0.002837', 'sac/q_loss': '0.03358', 'sac/reward_mean': '0.9875'}
{'step': 82000, 'sps': '31.1', 'episodes': 410, 'phi/obj': '0.9872', 'sac/actor_loss': '-98.25', 'sac/alpha': '0.002718', 'sac/q_loss': '0.0306', 'sac/reward_mean': '0.9888'}
{'step': 83000, 'sps': '31.1', 'episodes': 415, 'phi/obj': '0.9868', 'sac/actor_loss': '-98.25', 'sac/alpha': '0.002682', 'sac/q_loss': '0.04266', 'sac/reward_mean': '0.9885'}
{'step': 84000, 'sps': '31.1', 'episodes': 420, 'phi/obj': '0.986', 'sac/actor_loss': '-98.25', 'sac/alpha': '0.002738', 'sac/q_loss': '0.03077', 'sac/reward_mean': '0.9878'}
{'step': 85000, 'sps': '31.1', 'episodes': 425, 'phi/obj': '0.9866', 'sac/actor_loss': '-98.27', 'sac/alpha': '0.002716', 'sac/q_loss': '0.03317', 'sac/reward_mean': '0.9883'}
{'step': 86000, 'sps': '31.1', 'episodes': 430, 'phi/obj': '0.9868', 'sac/actor_loss': '-98.27', 'sac/alpha': '0.002658', 'sac/q_loss': '0.03329', 'sac/reward_mean': '0.9885'}
{'step': 87000, 'sps': '31.1', 'episodes': 435, 'phi/obj': '0.9868', 'sac/actor_loss': '-98.29', 'sac/alpha': '0.002565', 'sac/q_loss': '0.03293', 'sac/reward_mean': '0.9884'}
{'step': 88000, 'sps': '31.1', 'episodes': 440, 'phi/obj': '0.9852', 'sac/actor_loss': '-98.29', 'sac/alpha': '0.002497', 'sac/q_loss': '0.02914', 'sac/reward_mean': '0.987'}
{'step': 89000, 'sps': '31.1', 'episodes': 445, 'phi/obj': '0.9861', 'sac/actor_loss': '-98.29', 'sac/alpha': '0.002482', 'sac/q_loss': '0.03712', 'sac/reward_mean': '0.9878'}
