run=abl_euclid_rt_d4_s1 metric=euclidean skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '67.9', 'episodes': 5}
{'step': 2000, 'sps': '68.1', 'episodes': 10}
{'step': 3000, 'sps': '68.3', 'episodes': 15}
{'step': 4000, 'sps': '68.2', 'episodes': 20}
{'step': 21000, 'sps': '25.7', 'episodes': 105, 'metric/d_mean': '0.0002494', 'metric/d_nonzero': '0.1761', 'phi/constraint': '3.436e-08', 'phi/lambda': '46.98', 'phi/obj': '2.963e-05', 'phi/violation_rate': '0.04677', 'sac/actor_loss': '-16.94', 'sac/alpha': '0.009691', 'sac/q_loss': '0.002867', 'sac/reward_mean': '0.003004'}
{'step': 22000, 'sps': '25.6', 'episodes': 110, 'metric/d_mean': '0.000253', 'metric/d_nonzero': '0.1771', 'phi/constraint': '3.004e-08', 'phi/lambda': '45.2', 'phi/obj': '2.98e-05', 'phi/violation_rate': '0.04838', 'sac/actor_loss': '-16.18', 'sac/alpha': '0.007208', 'sac/q_loss': '0.002971', 'sac/reward_mean': '0.003022'}
{'step': 23000, 'sps': '25.7', 'episodes': 115, 'metric/d_mean': '0.0002548', 'metric/d_nonzero': '0.1768', 'phi/constraint': '4.14e-08', 'phi/lambda': '44.94', 'phi/obj': '2.88e-05', 'phi/violation_rate': '0.05149', 'sac/actor_loss': '-15.43', 'sac/alpha': '0.005367', 'sac/q_loss': '0.002852', 'sac/reward_mean': '0.002923'}
{'step': 24000, 'sps': '25.8', 'episodes': 120, 'metric/d_mean': '0.0002565', 'metric/d_nonzero': '0.1775', 'phi/constraint': '4.32e-08', 'phi/lambda': '44.67', 'phi/obj': '2.844e-05', 'phi/violation_rate': '0.05097', 'sac/actor_loss': '-14.71', 'sac/alpha': '0.004007', 'sac/q_loss': '0.00289', 'sac/reward_mean': '0.002888'}
{'step': 25000, 'sps': '25.8', 'episodes': 125, 'metric/d_mean': '0.0002568', 'metric/d_nonzero': '0.1775', 'phi/constraint': '4.04e-08', 'phi/lambda': '44.87', 'phi/obj': '2.859e-05', 'phi/violation_rate': '0.05412', 'sac/actor_loss': '-14.02', 'sac/alpha': '0.00301', 'sac/q_loss': '0.002931', 'sac/reward_mean': '0.002901'}
{'step': 26000, 'sps': '25.9', 'episodes': 130, 'metric/d_mean': '0.0002692', 'metric/d_nonzero': '0.1807', 'phi/constraint': '4.692e-08', 'phi/lambda': '40.98', 'phi/obj': '2.721e-05', 'phi/violation_rate': '0.04397', 'sac/actor_loss': '-13.37', 'sac/alpha': '0.002291', 'sac/q_loss': '0.003768', 'sac/reward_mean': '0.002766'}
{'step': 27000, 'sps': '26', 'episodes': 135, 'metric/d_mean': '0.000284', 'metric/d_nonzero': '0.1884', 'phi/constraint': '5.404e-08', 'phi/lambda': '38.47', 'phi/obj': '2.863e-05', 'phi/violation_rate': '0.05498', 'sac/actor_loss': '-12.78', 'sac/alpha': '0.001786', 'sac/q_loss': '0.004196', 'sac/reward_mean': '0.00291'}
{'step': 28000, 'sps': '26', 'episodes': 140, 'metric/d_mean': '0.0002948', 'metric/d_nonzero': '0.1933', 'phi/constraint': '7.179e-08', 'phi/lambda': '40.35', 'phi/obj': '3.069e-05', 'phi/violation_rate': '0.05457', 'sac/actor_loss': '-12.21', 'sac/alpha': '0.001426', 'sac/q_loss': '0.004189', 'sac/reward_mean': '0.003118'}
{'step': 29000, 'sps': '26.1', 'episodes': 145, 'metric/d_mean': '0.0003058', 'metric/d_nonzero': '0.1992', 'phi/constraint': '6.702e-08', 'phi/lambda': '39.65', 'phi/obj': '3.295e-05', 'phi/violation_rate': '0.05582', 'sac/actor_loss': '-11.7', 'sac/alpha': '0.001197', 'sac/q_loss': '0.0043', 'sac/reward_mean': '0.003343'}
{'step': 30000, 'sps': '26.1', 'episodes': 150, 'metric/d_mean': '0.0003306', 'metric/d_nonzero': '0.2092', 'phi/constraint': '6.997e-08', 'phi/lambda': '42.07', 'phi/obj': '3.796e-05', 'phi/violation_rate': '0.05093', 'sac/actor_loss': '-11.26', 'sac/alpha': '0.00119', 'sac/q_loss': '0.005019', 'sac/reward_mean': '0.003852'}
{'step': 31000, 'sps': '26.1', 'episodes': 155, 'metric/d_mean': '0.0003623', 'metric/d_nonzero': '0.2211', 'phi/constraint': '1.344e-07', 'phi/lambda': '47.02', 'phi/obj': '4.026e-05', 'phi/violation_rate': '0.03423', 'sac/actor_loss': '-10.85', 'sac/alpha': '0.001345', 'sac/q_loss': '0.005524', 'sac/reward_mean': '0.004082'}
{'step': 32000, 'sps': '26.2', 'episodes': 160, 'metric/d_mean': '0.0003985', 'metric/d_nonzero': '0.2321', 'phi/constraint': '1.306e-07', 'phi/lambda': '41.02', 'phi/obj': '4.667e-05', 'phi/violation_rate': '0.04504', 'sac/actor_loss': '-10.46', 'sac/alpha': '0.001481', 'sac/q_loss': '0.006407', 'sac/reward_mean': '0.004731'}
{'step': 33000, 'sps': '26.2', 'episodes': 165, 'metric/d_mean': '0.0004382', 'metric/d_nonzero': '0.2441', 'phi/constraint': '1.541e-07', 'phi/lambda': '49.05', 'phi/obj': '6.132e-05', 'phi/violation_rate': '0.04139', 'sac/actor_loss': '-10.14', 'sac/alpha': '0.001644', 'sac/q_loss': '0.006899', 'sac/reward_mean': '0.006204'}
{'step': 34000, 'sps': '26.2', 'episodes': 170, 'metric/d_mean': '0.0004828', 'metric/d_nonzero': '0.2596', 'phi/constraint': '1.955e-07', 'phi/lambda': '52.62', 'phi/obj': '7.338e-05', 'phi/violation_rate': '0.04485', 'sac/actor_loss': '-9.837', 'sac/alpha': '0.001838', 'sac/q_loss': '0.00738', 'sac/reward_mean': '0.00741'}
