episode,step,return,len,terminal_w2_from_start,z
1,200,4.347550392150879,200,0.04822787571559565,+0.187 -0.196 +0.950 +0.156
2,400,-237.86978435516357,200,0.03930024085351338,-0.308 +0.208 +0.751 +0.545
3,600,127.07848453521729,200,0.04004735733235541,-0.446 -0.802 -0.395 +0.026
4,800,-14.430718421936035,200,0.04235819342566776,-0.847 -0.080 -0.454 -0.267
5,1000,-193.4884271621704,200,0.026794615217326966,-0.423 -0.246 +0.320 +0.811
6,1200,-200.0110788345337,200,0.038225466516076646,-0.082 +0.873 -0.425 +0.225
7,1400,0.9726743698120117,200,0.030809179357295793,+0.605 +0.063 -0.498 -0.618
8,1600,-24.628177642822266,200,0.031427959104822364,-0.398 +0.192 -0.878 -0.182
9,1800,-340.6830015182495,200,0.03316568164860142,-0.227 +0.772 +0.307 +0.508
10,2000,-201.58663940429688,200,0.03358250791867265,-0.361 -0.071 +0.432 +0.823
11,2200,-309.0559501647949,200,0.035996196927260776,-0.502 +0.603 +0.536 +0.311
12,2400,-166.87442207336426,200,0.03333661715494309,+0.107 -0.127 +0.589 +0.791
13,2600,44.159074783325195,200,0.03529795954341807,+0.703 +0.513 +0.140 -0.472
14,2800,-173.16058540344238,200,0.03770776703729905,-0.003 +0.438 -0.859 +0.264
15,3000,-58.109066009521484,200,0.032623137426019695,+0.271 +0.439 -0.748 -0.418
16,3200,-55.65263843536377,200,0.0375410166529438,-0.199 -0.532 +0.791 -0.226
17,3400,-139.22845649719238,200,0.03946141946608882,+0.156 -0.123 +0.753 +0.628
18,3600,27.17011547088623,200,0.031229791035005203,+0.265 -0.921 +0.022 +0.286
19,3800,190.01910591125488,200,0.03542344888525454,+0.395 -0.243 +0.717 -0.520
20,4000,-347.2637939453125,200,0.037667177733932085,-0.287 +0.405 +0.021 +0.868
21,4200,166.57964992523193,200,0.035096433748822486,+0.142 -0.476 -0.284 -0.820
22,4400,-307.73399925231934,200,0.034004193634956825,-0.635 +0.314 +0.289 +0.644
23,4600,-395.0255136489868,200,0.03577783390432024,-0.308 +0.691 -0.117 +0.644
24,4800,-173.70178985595703,200,0.043306741679017866,-0.318 -0.540 +0.183 +0.757
25,5000,117.67905330657959,200,0.033729892719872215,+0.079 -0.288 -0.660 -0.689
26,5200,4.720385909080505,200,0.03962267585155545,+0.324 +0.637 -0.106 -0.692
27,5400,-0.8105997741222382,200,0.04010461369169307,+0.009 +0.806 +0.473 -0.356
28,5600,-3.7254028916358948,200,0.037733253408765,+0.228 -0.641 -0.444 +0.582
29,5800,9.449914276599884,200,0.03401782423042297,-0.778 -0.600 +0.157 +0.097
30,6000,6.489080548286438,200,0.03872008336040612,-0.728 +0.132 +0.319 -0.593
31,6200,11.086760371923447,200,0.02470606929865351,-0.396 +0.046 +0.505 +0.765
32,6400,-6.540241599082947,200,0.0340138630424553,+0.529 +0.163 -0.366 -0.748
33,6600,8.772764652967453,200,0.038390127976746305,-0.371 +0.406 +0.476 -0.686
34,6800,-8.048463821411133,200,0.041939861864473744,+0.446 -0.111 -0.171 -0.872
35,7000,45.26317831873894,200,0.02690121121441945,+0.217 +0.133 +0.658 +0.708
36,7200,37.2487822920084,200,0.040501033031213766,+0.315 -0.090 -0.945 -0.011
37,7400,57.277233853936195,200,0.03272309694986941,+0.162 -0.677 +0.429 +0.576
38,7600,30.93728545308113,200,0.03744364623395769,+0.658 +0.519 -0.492 -0.235
39,7800,260.5510079860687,200,0.03637759532795716,-0.543 -0.057 +0.491 -0.679
40,8000,18.44287407398224,200,0.032162070265274074,-0.044 +0.855 -0.414 +0.308
41,8200,84.6690121293068,200,0.05282127767462236,+0.669 -0.633 -0.389 +0.002
42,8400,89.17582416534424,200,0.03809714209785225,+0.281 +0.606 -0.741 -0.064
43,8600,392.39902287721634,200,0.03732669287073533,-0.431 -0.591 -0.287 -0.618
44,8800,136.394779458642,200,0.07721557017339462,+0.311 -0.887 +0.088 -0.330
45,9000,270.3097317516804,200,0.03769568401221687,-0.017 +0.469 -0.847 +0.250
46,9200,114.37863102555275,200,0.051214657702199726,+0.787 -0.383 +0.328 -0.355
47,9400,16.25594961643219,200,0.03340561655132456,+0.367 +0.257 +0.293 -0.845
48,9600,-20.197530835866928,200,0.09359058221505125,-0.258 +0.827 +0.460 +0.196
49,9800,306.8814505338669,200,0.1281654887154908,-0.048 -0.156 -0.429 -0.889
50,10000,132.77663549780846,200,0.040030761947897515,+0.033 +0.733 +0.647 -0.208
51,10200,72.51611030101776,200,0.031115475167930944,+0.060 +0.035 +0.949 +0.306
52,10400,169.91893592476845,200,0.0423224864873508,-0.828 -0.517 -0.206 -0.072
53,10600,218.34395241737366,200,0.0920393854595975,+0.938 -0.130 +0.291 -0.139
54,10800,218.98382022976875,200,0.1073900399796286,-0.807 +0.192 -0.247 -0.501
55,11000,87.08543685078621,200,0.033458669847001486,-0.270 +0.335 +0.424 +0.797
56,11200,247.79020339250565,200,0.06477458110519517,-0.421 -0.040 -0.823 -0.379
57,11400,114.7483434677124,200,0.03262026746257695,-0.441 +0.439 -0.001 +0.782
58,11600,96.56980574131012,200,0.09357248865696544,+0.706 -0.526 -0.157 -0.447
59,11800,85.42813754081726,200,0.11990155786730226,-0.967 -0.141 +0.207 -0.041
60,12000,152.44758969545364,200,0.19771110705786102,-0.578 -0.107 -0.809 -0.007
61,12200,472.54780972003937,200,0.026256533050313745,-0.064 +0.641 -0.579 +0.499
62,12400,36.00908172130585,200,0.08176745456129943,+0.002 -0.607 +0.135 +0.783
63,12600,45.82667273283005,200,0.05712214105157086,+0.484 -0.173 -0.598 -0.615
64,12800,180.83893251419067,200,0.036922718103763734,-0.014 +0.867 -0.019 -0.498
65,13000,169.9124509692192,200,0.03436637580237449,-0.098 +0.863 +0.033 +0.495
66,13200,25.565829873085022,200,0.08976302674319879,-0.208 +0.296 -0.518 -0.775
67,13400,16.269991397857666,200,0.0784502390946003,+0.057 -0.707 -0.687 -0.160
68,13600,89.1284151673317,200,0.09356512351077463,-0.466 -0.763 -0.446 +0.043
69,13800,203.24786859750748,200,0.03564480187338517,-0.051 +0.796 +0.403 -0.448
70,14000,-50.911041021347046,200,0.228065088351617,+0.821 +0.047 +0.530 -0.209
71,14200,166.7155060172081,200,0.07800891461962539,-0.564 -0.799 +0.097 -0.186
72,14400,147.90231311321259,200,0.08641311121597114,+0.927 -0.068 -0.236 +0.282
73,14600,22.915072739124298,200,0.028431251454088792,-0.541 +0.749 -0.303 -0.234
74,14800,60.745199739933014,200,0.048279651659849245,+0.341 -0.775 +0.395 -0.355
75,15000,-45.439811050891876,200,0.03655389281086036,-0.117 -0.738 -0.634 +0.198
76,15200,70.5232903957367,200,0.037409606640889895,-0.350 +0.147 +0.923 +0.056
77,15400,61.135464668273926,200,0.029563794563698925,-0.366 +0.405 -0.829 -0.122
78,15600,-96.18209010362625,200,0.038620715316428,+0.865 +0.202 -0.460 -0.008
79,15800,-375.598291516304,200,0.10114941623249703,-0.189 -0.577 +0.256 +0.752
80,16000,203.25410240888596,200,0.044484220658269985,+0.229 +0.109 +0.308 -0.917
81,16200,-101.17174232006073,200,0.03485698570739442,-0.056 -0.827 +0.335 -0.449
82,16400,60.62746796011925,200,0.029947607875462825,-0.478 -0.182 +0.838 +0.190
83,16600,411.3574742078781,200,0.03189474633223219,+0.926 +0.285 -0.246 +0.020
84,16800,287.13893872499466,200,0.03896461634631211,+0.435 +0.557 -0.673 +0.217
85,17000,275.9995306432247,200,0.03563987289635836,+0.830 +0.119 +0.038 +0.544
86,17200,324.6843791604042,200,0.0280788774555276,+0.698 -0.041 -0.432 +0.570
87,17400,209.22596114873886,200,0.03783501967631554,+0.418 +0.120 +0.086 +0.896
88,17600,90.36401861906052,200,0.04297351191880098,+0.023 +0.397 -0.891 +0.217
89,17800,228.94843208789825,200,0.03795711139613325,+0.470 -0.112 +0.328 +0.812
90,18000,304.37823712825775,200,0.040387232562076235,+0.889 -0.056 -0.292 -0.347
91,18200,104.99701452255249,200,0.03863077434843173,+0.078 +0.448 -0.530 -0.716
92,18400,176.060244679451,200,0.04091201389102345,+0.865 -0.419 +0.197 +0.195
93,18600,-292.14827823638916,200,0.061302911870012286,-0.563 -0.316 -0.726 +0.239
94,18800,301.4517171382904,200,0.03150459601956196,+0.446 +0.602 -0.616 +0.244
