step,sps,episodes,phi/obj,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,52.2,30,0.5913807005733251,-7.931723178982734,0.8640516766905785,0.4245176640897989,0.5944279492199421
7000,45.3,35,0.8770500149726868,-16.941395546913146,0.6400526558160782,0.05851827841810882,0.8789805387258529
8000,41.2,40,0.9338228466510773,-25.068848512649534,0.4741338520050049,0.04544650395587087,0.9352128738760949
9000,38.5,45,0.9539299879670143,-31.855119735717775,0.35124742656946184,0.024986301395110787,0.955106344461441
10000,36.6,50,0.9314987053275108,-37.35528461456299,0.26021983724832537,0.03476662557478994,0.9328598740100861
11000,35.2,55,0.9370239973068237,-41.87300212097168,0.19279381342232227,0.03471184223517775,0.9381765866875649
12000,34.1,60,0.9271672711968422,-45.71227603530884,0.14285204461961984,0.028059891947545112,0.9283376221656799
13000,33.2,65,0.9540290116071701,-49.08909163665771,0.10587483038008214,0.011740725934505463,0.9550551580190658
14000,32.4,70,0.9593514226078987,-52.120939865112305,0.07848715657740832,0.014260078982915729,0.9605478487610817
15000,31.8,75,0.9592004334926605,-54.76125788116455,0.05818960697576404,0.013525143532082439,0.9605809796452522
16000,31.3,80,0.9467458139657974,-57.069902008056644,0.04316442412137985,0.01911115655582398,0.9480488303899764
17000,30.9,85,0.9637318824529648,-59.17414356231689,0.03201475354284048,0.008486436594976112,0.9646371840834618
18000,30.9,90,0.9553661729693412,-61.09026231765747,0.023783555902540682,0.014972523133736104,0.9564188873171806
19000,30.9,95,0.9558550878763199,-62.90300351333618,0.01770087717566639,0.01313886067736894,0.9571101263165473
20000,30.9,100,0.9616771835684776,-64.6096572151184,0.013178738535381854,0.011361765089677647,0.9630042906403542
21000,31.0,105,0.9565738375782966,-66.18089238739013,0.00983053964935243,0.01753836043016054,0.9578221409916877
22000,31.0,110,0.9643617119193078,-67.64833769226074,0.007371212213300169,0.015678390559740366,0.9655173421502113
23000,31.0,115,0.9676079660654068,-69.10999221038819,0.005575675337575376,0.011487839687149972,0.9687190836668015
24000,31.0,120,0.9634503043889999,-70.47685018920899,0.0042647045247722415,0.013039571443805471,0.964491543829441
25000,31.0,125,0.9659651017785073,-71.7681971130371,0.0033053243884351106,0.010147096485365182,0.9669905496835709
26000,31.0,130,0.9721612724661827,-73.03825360107422,0.00258477472118102,0.011818823443260044,0.9730415491461754
27000,31.1,135,0.9595342690944672,-74.22026985931396,0.0021533339333254845,0.020423621985595674,0.9607203805446625
28000,31.1,140,0.9632218707799911,-75.32165566253663,0.0018532655751332641,0.01644700613617897,0.9645093850493431
29000,31.1,145,0.9668669405579567,-76.38620358276367,0.0016952527491375805,0.015112115621566773,0.9680011451840401
30000,31.1,150,0.967417064011097,-77.41750090789795,0.0017546287038130686,0.017924666683655232,0.96872965747118
31000,31.1,155,0.9680679011344909,-78.37827101898193,0.001839611404691823,0.018326188421808182,0.9690651038885116
32000,31.1,160,0.965089608669281,-79.30273007965089,0.002000758080976084,0.02425296034757048,0.9660871490240097
33000,31.1,165,0.962561154127121,-80.15595037841797,0.0019925885690608995,0.023917662544641644,0.963858834207058
34000,31.1,170,0.9746711792945861,-81.02895488739014,0.001764428906608373,0.016865187428425996,0.9756189944148064
35000,31.1,175,0.9768029487729073,-81.87667044830322,0.0015451856416184456,0.020313631895463913,0.9776290732622147
36000,31.1,180,0.9772803847789764,-82.70493414306641,0.0015665500321192668,0.017077611458022147,0.978298568546772
37000,31.2,185,0.9820545129179955,-83.53694403076172,0.0015642280571628363,0.017345589153468607,0.9830025417804718
38000,31.2,190,0.9796556338071823,-84.34397632598876,0.0017856041628401727,0.030121108857914806,0.9804805449843407
39000,31.2,195,0.9757570165991784,-85.09104473876953,0.0019500083054881543,0.03475073173595592,0.9768137800693512
40000,31.2,200,0.980028841495514,-85.86743006896972,0.0018580090425675735,0.18466341623011975,0.9808803166747093
41000,31.2,205,0.9801311277747154,-86.58611788940429,0.0021307337302714584,0.18000562847871332,0.9811064848303794
42000,31.2,210,0.9775521619915962,-87.276580078125,0.0022704306514933705,0.28501617201324553,0.9786423605680465
43000,31.2,215,0.9845815334320068,-88.04644951629639,0.0025275721992366017,0.15569775605760514,0.9853751820325851
44000,31.2,220,0.9814507333636284,-88.67341415405274,0.002864583045942709,0.20681962324213238,0.982330514550209
45000,31.2,225,0.9830796076655388,-89.30187152862548,0.0031025344054214656,0.12729074450209737,0.9839885040521622
46000,31.2,230,0.9833535467386245,-89.88872832489014,0.0034440488431137055,0.20757893107738346,0.9841786029338837
47000,31.2,235,0.9822033140659332,-90.42726940917969,0.0036990544302389025,0.09143576811440289,0.9831879066228867
48000,31.2,240,0.9820475633144379,-90.97925412750244,0.003964018691331148,0.15656290754675864,0.9830653321146965
49000,31.2,245,0.9847371633052826,-91.5150252685547,0.0040533066615462306,0.11909194702655077,0.9856040716171265
50000,31.2,250,0.9845016485452652,-92.05435927581787,0.004012834060005844,0.12122835513204336,0.9854012541770935
51000,31.2,255,0.9854144143462181,-92.50596083068848,0.004072698638774455,0.1380500344056636,0.9862438738942146
52000,31.2,260,0.9837369616031647,-92.84887840270996,0.0041094655846245585,0.2822636697217822,0.9846655229330062
53000,31.2,265,0.9818247886896133,-93.12878322601318,0.004246685533318669,0.5517016988806427,0.9828574573993683
54000,31.2,270,0.9841190160512924,-93.45294930267335,0.004634161285124719,0.6570539711173624,0.9849806757569313
55000,31.2,275,0.983475770831108,-93.74829972839356,0.005013725689146668,0.5396284728422761,0.9845528623461723
56000,31.2,280,0.9823522236943245,-94.05595543670654,0.0052024768400006,0.5299635862633586,0.9834941755533219
57000,31.2,285,0.9851754847168922,-94.32342889404296,0.004890773322898894,0.3265487526729703,0.9861177395582199
58000,31.2,290,0.9844584711790085,-94.60433375549316,0.0046019131056964395,0.3881095932405442,0.9854184579253197
59000,31.2,295,0.9855124255418778,-94.88841985321045,0.004677549235522747,0.3009731538742781,0.9864049175381661
60000,31.2,300,0.982550256550312,-95.10953238677979,0.0045926677375100556,0.2888304110839963,0.9835185326337814
61000,31.2,305,0.982768234372139,-95.3003975906372,0.004636944354511797,0.31942337596789,0.9838405086398124
62000,31.2,310,0.985226941883564,-95.50612368011474,0.0046896060020662845,0.24801995045877992,0.9861933062076569
63000,31.3,315,0.9832299897074699,-95.62517207336425,0.004701158928219229,0.3628368560038507,0.9843413037657738
64000,31.3,320,0.9845517547726631,-95.78654639434815,0.004581147426273674,0.26885266477242115,0.9856001249551773
65000,31.3,325,0.9858117138743401,-95.91694717407226,0.00465605100011453,0.343964823063463,0.9867825782299042
66000,31.3,330,0.984385488986969,-96.06328830718994,0.0046011094031855465,0.19956816165335475,0.9853013040423393
67000,31.3,335,0.9864730558395386,-96.20397313690185,0.004753075583372265,0.2382622102126479,0.9873380975723267
68000,31.3,340,0.9866713153123856,-96.33256642913818,0.005123956714291125,0.21504669579863547,0.9875334560275078
69000,31.3,345,0.985469307243824,-96.4692456893921,0.005315533946733922,0.25686659693717956,0.9864708386659622
70000,31.3,350,0.9860984476804733,-96.61699682617187,0.005443531293887645,0.18058068479038775,0.9871303978562355
71000,31.3,355,0.9869716717600823,-96.74549674224853,0.005466212171595544,0.14698446241393687,0.9879030994772912
72000,31.3,360,0.9865615683197975,-96.875103515625,0.005451627480331809,0.20477243839018047,0.987509591639042
73000,31.3,365,0.9866091651916504,-97.03927694702148,0.00550478384597227,0.16206267453171314,0.9875529964566231
74000,31.3,370,0.986536662042141,-97.19934287261962,0.0052684604628011585,0.1874836483746767,0.9875244719982147
75000,31.3,375,0.9866918966174125,-97.33943552398682,0.005347133293282241,0.1283336758762598,0.9876968578696251
76000,31.3,380,0.9873905534744263,-97.4676773300171,0.005385644948575645,0.16407287319749594,0.9882650176882743
77000,31.3,385,0.9875640324354171,-97.65216477203369,0.005391134233679622,0.13207528622448444,0.9885296170711517
78000,31.3,390,0.9873516119718552,-97.77390420532227,0.005314261363819242,0.11690484917536378,0.9882268048524857
79000,31.3,395,0.9876904011964798,-97.95664170837402,0.005462489852216095,0.12724640757776798,0.9885762755870819
80000,31.3,400,0.9873857960700989,-98.16064623260498,0.005593239097390324,0.11648064430244268,0.9883156576156616
81000,31.3,405,0.9874510744810104,-98.3237011795044,0.005712945581879467,0.11450947627238929,0.9883923988938331
82000,31.3,410,0.9864566062688828,-98.45592543792725,0.005814884489867837,0.11018059681728483,0.9874848349690437
83000,31.3,415,0.9850116043686866,-98.5561880493164,0.005940443329513073,0.12142304695397615,0.9862118585705757
84000,31.3,420,0.9844199590086937,-98.6252566986084,0.005922514128498733,0.11808946741372348,0.9855160416960717
85000,31.3,425,0.9854052661061287,-98.73473958587647,0.005654827307444066,0.10268443121761084,0.9864982142448425
86000,31.3,430,0.987152459025383,-98.83066453552246,0.005833243430592119,0.09371742595918477,0.9881073859333992
87000,31.3,435,0.9874152650237084,-98.932852104187,0.005887211525347083,0.08403924945555627,0.9882908111810684
88000,31.3,440,0.9875601441860199,-99.03407376098633,0.005850800136104226,0.08801631837524473,0.9885192136764527
89000,31.3,445,0.9879183056950569,-99.14261894989014,0.005730045761913061,0.07622779497504234,0.9889313595890998
90000,31.3,450,0.988267261326313,-99.21836966705322,0.005640574014745652,0.07812607226893306,0.9891571201682091
91000,31.3,455,0.9854076042771339,-99.28910768890381,0.005561971810180694,0.07264336932078004,0.9862998135685921
92000,31.3,460,0.9836806573271751,-99.27276430511475,0.005425263930577785,0.07752028700336813,0.9847240586876869
93000,31.3,465,0.985073746919632,-99.3231997756958,0.005383273344486952,0.0832175206337124,0.9861200860142708
94000,31.3,470,0.9845733647942543,-99.37562091064453,0.005310691018123179,0.06942308365926146,0.9855616273283958
95000,31.3,475,0.9854899235367774,-99.41385444641114,0.005268968749791384,0.0638726143911481,0.986641611635685
96000,31.3,480,0.9870214883089066,-99.47038879394532,0.005234800772275776,0.07924391013011337,0.9879882956147193
97000,31.3,485,0.9879302736520768,-99.52649862670899,0.005205825486686081,0.060478559864684936,0.9889033840298652
98000,31.3,490,0.9881046802401543,-99.57428521728515,0.0051683420687913895,0.07302305982075631,0.9890803034305573
99000,31.3,495,0.9869705229997635,-99.61716947174072,0.005115082531236112,0.06990581304952502,0.9880472954511642
100000,31.3,500,0.9888702442646027,-99.63557299041749,0.004906614099629223,0.07923957643099129,0.9897892980575561
101000,31.3,505,0.987252385020256,-99.65037711334229,0.0047087609022855755,0.0650760440044105,0.9881567278504372
102000,31.3,510,0.9847866942286492,-99.62512272644042,0.004665051081683486,0.08693271937780082,0.9858270460963249
103000,31.3,515,0.9865324473977088,-99.6124033203125,0.004558581269346177,0.047159699954092506,0.9876288576722145
104000,31.3,520,0.9851954977512359,-99.60184336853027,0.004415580179076642,0.08717222604341805,0.9862744742631913
105000,31.3,525,0.9865034445524216,-99.57161246490479,0.004396363454405219,0.07079304004833102,0.9875680824518204
106000,31.3,530,0.9847197495102883,-99.54770974731446,0.004278187557123602,0.05774247463606298,0.9857533784508705
107000,31.3,535,0.9841020549535752,-99.52180787658692,0.004250337144825608,0.06984211038425565,0.9853853175044059
108000,31.3,540,0.9858499258756638,-99.49589208221435,0.004091260526329279,0.049011796839535236,0.9869813508987427
109000,31.3,545,0.9856446659564972,-99.46350428009033,0.004027776965871453,0.062126127822324635,0.9867663585543632
110000,31.3,550,0.9869027284383773,-99.43864184570313,0.003973042963072658,0.06257927436940372,0.9879709800481796
111000,31.3,555,0.9876191269159317,-99.4370224685669,0.003913713087560609,0.05603507764451206,0.9886936627626419
112000,31.3,560,0.9884207749962807,-99.42978898620605,0.003837339933263138,0.05464105419628322,0.9894165892601013
113000,31.3,565,0.9863447338342667,-99.41345315551757,0.0038245974029414358,0.0602778342384845,0.9875035449266434
114000,31.3,570,0.9861860467195511,-99.41516445922852,0.003814700374379754,0.06395471997372806,0.9873029370903968
115000,31.3,575,0.9874966644644737,-99.39347918701172,0.0037020522472448647,0.06279350890405476,0.9885233216285706
116000,31.3,580,0.9857815195918083,-99.37883229827881,0.0036282395988237112,0.0686341619361192,0.9870197868347168
117000,31.3,585,0.9872539781332016,-99.36400021362304,0.0036722109196707605,0.07396841909829527,0.9883973852992057
118000,31.3,590,0.9872407680749893,-99.3353553314209,0.0036529215679038315,0.06940610302891582,0.9884153836965561
119000,31.3,595,0.9852666506171226,-99.31488817596436,0.00357200510869734,0.09529176363535226,0.9864839189648629
