episode,step,return,len,terminal_w2_from_start,z
1,200,62.847124099731445,200,0.02992011978442472,+0.214 +0.509 +0.205 -0.808
2,400,-188.53507328033447,200,0.02632079847393084,+0.706 +0.348 -0.419 +0.453
3,600,-353.2098159790039,200,0.029103133953732537,+0.506 +0.408 +0.039 +0.759
4,800,-42.700490951538086,200,0.03018371792776073,-0.684 -0.151 -0.448 +0.556
5,1000,30.722344398498535,200,0.027353956391257074,+0.045 -0.334 -0.894 -0.294
6,1200,-316.7989692687988,200,0.025295154736238255,+0.005 -0.166 +0.778 +0.606
7,1400,99.63248825073242,200,0.03888775819439841,-0.813 -0.566 -0.052 -0.127
8,1600,27.488545417785645,200,0.032113200211157655,+0.089 +0.090 +0.878 -0.461
9,1800,-259.49773120880127,200,0.04048297227574566,-0.166 +0.898 +0.284 +0.292
10,2000,112.64657306671143,200,0.039922020641040126,-0.296 -0.948 +0.096 +0.063
11,2200,170.0095558166504,200,0.040015418564912905,-0.724 -0.403 -0.043 -0.558
12,2400,106.3542013168335,200,0.03859539613860708,-0.187 +0.182 +0.068 -0.963
13,2600,-20.014363288879395,200,0.04131210476418231,+0.429 +0.643 +0.232 -0.591
14,2800,136.61961460113525,200,0.04285642561749954,+0.445 -0.305 +0.534 -0.651
15,3000,29.090118408203125,200,0.02945249121665274,+0.579 -0.013 -0.791 -0.199
16,3200,-13.26743221282959,200,0.04390403423639698,+0.036 +0.181 -0.652 -0.735
17,3400,-200.7895793914795,200,0.036517236947890074,+0.212 -0.495 +0.250 +0.805
18,3600,71.50133228302002,200,0.035279803837628104,-0.789 +0.122 +0.586 -0.142
19,3800,-207.08803176879883,200,0.03214874476836674,-0.561 +0.520 +0.175 +0.620
20,4000,174.25947761535645,200,0.03714767460083853,-0.217 -0.932 -0.069 -0.281
21,4200,-11.683904647827148,200,0.03637277142866872,+0.357 +0.089 -0.750 -0.550
22,4400,-145.2616367340088,200,0.030627088981725864,+0.687 +0.529 -0.498 -0.001
23,4600,-269.5959415435791,200,0.03730421898570944,+0.398 +0.419 +0.783 +0.229
24,4800,166.96692657470703,200,0.03712005669986889,-0.038 -0.103 +0.422 -0.900
25,5000,6.394460678100586,200,0.0375144804092251,-0.094 +0.022 -0.969 +0.226
26,5200,-1.572548458352685,200,0.027158223616047444,-0.510 +0.675 -0.098 +0.524
