step,sps,episodes,phi/obj,sac/actor_loss,sac/alpha,sac/q_loss,sac/reward_mean
6000,53.7,30,-1.3701666815542524e-05,-6.7319968930482865,0.8639991369247436,0.23169987305626275,0.01306510832766071
7000,47.8,35,-4.6492680390031185e-08,-12.343544465065003,0.6399836522936821,0.036255543384701015,0.009278117118403316
8000,44.1,40,-2.4033984242777252e-08,-16.468657713890074,0.4740997982621193,0.021809670329093932,0.007919137260876596
9000,41.6,45,-2.2117762344286974e-08,-19.177468236923218,0.3512201143205166,0.013049834945704789,0.006770649652928114
10000,39.9,50,-1.8044949668727384e-08,-20.846784858703614,0.2601878634095192,0.007840852614957839,0.005650405045598745
11000,38.5,55,-1.8986647834395854e-08,-21.759075315475464,0.19275456650555134,0.0048926199453417215,0.004951050266157836
12000,37.5,60,-2.2236296508104658e-08,-22.12584764099121,0.142801710575819,0.003113724058493972,0.004215498297475279
13000,36.6,65,-2.298547057932865e-08,-22.142006423950196,0.10579636809974909,0.0021203879441600293,0.003580136014148593
14000,35.9,70,-2.2008043224275297e-08,-21.86054774093628,0.07838164164870977,0.001582612604368478,0.0031130723699461667
15000,35.3,75,-2.2431296397229517e-08,-21.35695985221863,0.058073773313313724,0.0010937935573165304,0.0026387968778144567
16000,34.9,80,-2.154291108258377e-08,-20.723199562072754,0.04303439638763666,0.0008835854908684268,0.002204957842826843
17000,34.4,85,-1.9954763326168747e-08,-20.01882662200928,0.03189486395381391,0.0007090060427726712,0.0019195881000487133
18000,34.1,90,-1.9256860400496123e-08,-19.266292102813722,0.02364712188951671,0.0005700557491509244,0.0017513095595641061
19000,33.8,95,-1.9959574209416076e-08,-18.486045515060425,0.017543633947148918,0.0004989046381379012,0.0015401534938719124
20000,33.5,100,-1.8741301910374374e-08,-17.716159332275392,0.013028690575622021,0.0003952606304519577,0.0013805423430167138
21000,33.2,105,-1.8805811095035097e-08,-16.95196474456787,0.00968961464986205,0.00037401979499554727,0.0012573154183337465
22000,33.0,110,-1.883635566013453e-08,-16.19820415878296,0.007219593135640025,0.0003425692372111371,0.001108179611270316
23000,32.8,115,-1.8271229294875015e-08,-15.459198362350463,0.00539089009957388,0.00030166138718777804,0.0009633714148658327
