step,sps,episodes,gc/actor_loss,gc/alpha,gc/q_loss,gc/reward_mean
6000,57.9,19,-6.497197865962982,0.8640168966650963,0.26665010848641396,0.0048638131839397825
8000,47.5,26,-14.114919333934784,0.5571067014038563,0.029978323091287166,0.005042477408816921
10000,43.0,33,-19.852355929374696,0.30573437525331976,0.01131763747963123,0.005184921042673523
12000,40.7,39,-21.958166892051697,0.16779145007953047,0.005568387717241421,0.005244880659840419
14000,39.0,46,-22.050683999061583,0.0920919748879969,0.0037338973214500583,0.005222193828740273
16000,37.9,53,-21.144709526062012,0.050552259305492044,0.003301050716720056,0.0051276258218131265
18000,37.2,59,-19.82031586742401,0.027768645881675182,0.0030549658046948023,0.005116315214647329
20000,36.6,66,-18.34469386959076,0.01527448728820309,0.0029239520232513315,0.004987914651283063
22000,36.0,73,-16.853960282325744,0.008432181013515219,0.0031874997073755365,0.005183076644229004
24000,35.6,79,-15.422193464279175,0.004691626346437261,0.0034632758780935545,0.005379281236848328
26000,35.2,86,-14.108684998512269,0.002650950998766348,0.004687896872870624,0.006082856821856694
28000,35.0,93,-12.900226387500762,0.001569180065242108,0.005373750766739249,0.006411359997699037
30000,34.7,99,-11.845953600406647,0.001113370618200861,0.00931738321130979,0.00655862536461791
32000,34.5,106,-10.977645630836486,0.0011094761164276862,0.011501605768222362,0.007298803176658111
34000,34.3,113,-10.17188631439209,0.0019303920579259283,0.011642960145836696,0.007756629316601902
36000,34.1,119,-9.460661339759827,0.0023900003988528624,0.01285901840799488,0.00797670127186575
38000,34.0,126,-8.847499186992644,0.0027943449948215856,0.014567714440170675,0.008591949588997522
40000,33.8,133,-8.38693402838707,0.003460321016027592,0.016680460934760048,0.009615339007912553
42000,33.7,139,-7.967561108827591,0.003127781509188935,0.018465082454262302,0.010744356484996389
44000,33.6,146,-7.584833936691284,0.0028530291913775726,0.018399826062843204,0.011333312515722355
46000,33.5,153,-7.232830951690674,0.0025357751584379,0.020006856316467748,0.011713214385556057
48000,33.5,159,-6.837061852931976,0.002448988778050989,0.021706126664299517,0.012085662162135122
50000,33.4,166,-6.395403974294663,0.0020351454762276263,0.022397587572224438,0.011621463195013348
52000,33.3,173,-6.000120360136032,0.002051577030448243,0.024551919645164164,0.011915261834277772
54000,33.3,179,-5.659695191383362,0.002584827646613121,0.024711702297907322,0.011239160424505826
56000,33.2,186,-5.386870535850525,0.0025736095692263914,0.025243897492531687,0.011088437960337615
58000,33.2,193,-5.115048682689666,0.002250139291398227,0.027267184127587826,0.010785972295154352
60000,33.2,199,-4.866150441169739,0.0020496102022589183,0.02733062980370596,0.010662285354817868
62000,33.1,206,-4.667495986461639,0.0018910877766902558,0.028230115194804967,0.01050675722672895
64000,33.1,213,-4.587513736248017,0.0018390219583525322,0.029581448427867144,0.01110099061683286
66000,33.0,219,-4.521367063879967,0.00199388863297645,0.028704112293198705,0.011143246713356347
68000,32.9,226,-4.546953964948655,0.0022243131783325227,0.03077196626411751,0.011493824594013859
70000,32.9,233,-4.497609292268753,0.0021086106876609845,0.03185105570126325,0.011851672738644993
72000,32.9,239,-4.470640724897384,0.002119911408983171,0.032340822260826824,0.01188209336658474
74000,32.8,246,-4.4844140343666075,0.002234955816180445,0.032781826346646996,0.012491967624431709
76000,32.8,253,-4.428607567071914,0.002235690375207923,0.03282704135030508,0.012561286433192436
78000,32.8,259,-4.252896238684654,0.00221069816313684,0.03371325776726007,0.012307665172760609
80000,32.7,266,-4.132750861406326,0.0019600369823165238,0.034073192120995376,0.012528551168885314
82000,32.7,273,-3.9913438147306444,0.0016445169113576412,0.03488891703030095,0.012657277304737364
84000,32.7,279,-3.85077847969532,0.0014866920462227426,0.03579292758088559,0.012794215356785571
86000,32.6,286,-3.6834586980342867,0.0014687120264861733,0.03437725424719974,0.012651282564242137
88000,32.6,293,-3.546382532954216,0.0014913958384422585,0.03354977518832311,0.012963832779438234
90000,32.6,299,-3.4105774546861647,0.0015365195713820867,0.033877576137892905,0.012416129967576125
92000,32.6,306,-3.3027966052293776,0.0014971547300810925,0.03359258895646781,0.012492373823712113
94000,32.5,313,-3.2326450330018996,0.0014595465767779387,0.0336021575378254,0.012705957825790393
96000,32.5,319,-3.244458040356636,0.0014421930763637647,0.03695158834801987,0.01283484367231722
98000,32.5,326,-3.2045138310194017,0.0014185416780528612,0.037231255096849054,0.013042989162611774
100000,32.5,333,-3.145867408514023,0.0013190043781069107,0.036947811979334805,0.012742901269783034
