episode,step,task,w2_start,w2_end,improvement
1,300,zones,0.24783535752204852,0.24886751707900118,-0.004164698561466729
2,600,bank,0.20361726114814277,0.20037428575298744,0.015926819646178703
3,900,restore,0.13133838330156541,0.12846857781287996,0.021850470643422715
4,1200,restore,0.11651973054379045,0.11450551955868332,0.017286437032654645
5,1500,restore,0.09516906880312384,0.0941599735220871,0.010603185401805826
6,1800,restore,0.09925006557917788,0.10006065964890898,-0.008167189260791297
7,2100,bank,0.2573318843110394,0.2562198058394161,0.004321572799269369
8,2400,restore,0.22259693330305724,0.21964568249895003,0.013258272521163628
9,2700,restore,0.15912765905360915,0.16014386981759648,-0.006386135320729958
10,3000,bank,0.0045499733793087594,0.02522638011250368,-4.544291803381083
11,3300,restore,0.3500395036094691,0.346503355587071,0.010102139861172033
12,3600,restore,0.038351685324567474,0.04200072329989139,-0.09514674373348608
13,3900,restore,0.14709499601669734,0.14586017758560083,0.008394700462525218
14,4200,bank,0.7143186986071258,0.7136668499072419,0.0009125460402408248
15,4500,zones,0.3402032228823153,0.3399355914303617,0.0007866811186740819
16,4800,bank,0.2214691731471143,0.22053133743769993,0.004234610605564515
17,5100,restore,0.2719712810194154,0.2643178707516342,0.028140508950409537
18,5400,zones,0.2462496811475033,0.24855599319904179,-0.009365746346517989
19,5700,zones,0.614642216388575,0.6133885414556784,0.002039682435519441
20,6000,zones,0.4357636601816547,0.4353791133522722,0.0008824664939297566
21,6300,restore,0.2984130667611263,0.2949542387721388,0.01159073906021757
22,6600,restore,0.15654163336446134,0.156218612549262,0.002063481824335356
23,6900,bank,0.9009969544147423,0.8988583642202481,0.002373582045994027
24,7200,bank,0.35982086426187576,0.35943603212838743,0.0010695103361439973
25,7500,bank,0.16729616866237385,0.16591514852379116,0.008254941817405048
26,7800,restore,0.15925479011108945,0.15575146292752168,0.02199825312082604
27,8100,restore,0.17870327096838817,0.17242933171776073,0.03510813885291042
28,8400,restore,0.13927559695563535,0.1366859696494673,0.01859354662822188
29,8700,restore,0.09069872886112731,0.0892689581906042,0.015763954891940157
30,9000,bank,0.4381742491703376,0.4385520012095862,-0.0008621046078447492
31,9300,zones,0.25505243696001023,0.2571752379867873,-0.008322998408009319
32,9600,zones,0.3165784276052733,0.31626220822013923,0.0009988658656437943
33,9900,bank,0.5754110480473469,0.5745733677030297,0.0014557946830527912
34,10200,restore,0.114815605590722,0.11407628855140732,0.0064391685739140225
35,10500,bank,0.42899613362745587,0.4284315570366394,0.001316041210074781
36,10800,restore,0.1554947240820616,0.15516563120828417,0.002116424693636376
37,11100,bank,0.336230858921507,0.33532422107499327,0.002696474230300727
38,11400,zones,0.24631094843333168,0.24568986220033562,0.0025215534954758922
39,11700,restore,0.15769710507362214,0.15450412639745012,0.020247541479479603
40,12000,zones,0.28739508457858154,0.2858506169289988,0.005374022495365338
41,12300,restore,0.2864051493815924,0.2811726269852285,0.01826965195165653
42,12600,bank,0.44178609128615187,0.4422671024115029,-0.0010887873901839207
43,12900,restore,0.09940704414941472,0.0990358417238366,0.003734166212810641
44,13200,restore,0.17270516179180473,0.17061990922615292,0.012074060462452074
45,13500,zones,0.19030654951071646,0.19136425521131986,-0.00555790488200647
46,13800,restore,0.18475559094761887,0.18476603753983672,-5.65427663881124e-05
47,14100,bank,1.0209911778126395,1.0221512273774467,-0.0011361994011471754
48,14400,bank,0.315219030652497,0.3138521013313086,0.004336442880237601
49,14700,zones,0.40088639990115943,0.40207670080909835,-0.0029691725841345384
50,15000,restore,0.02339532798746909,0.03153887057744215,-0.348084138608139
51,15300,restore,0.12268544617718051,0.11998178194592932,0.02203736723055638
52,15600,bank,0.583508956159755,0.5839808041650659,-0.0008086388397812172
53,15900,zones,0.22401137413482733,0.22464742256777515,-0.0028393577576333318
54,16200,zones,0.3678817196354132,0.3679977922096736,-0.00031551601524371087
55,16500,zones,0.3145483162835804,0.3147728529904925,-0.0007138385274638726
56,16800,zones,0.3431043662240337,0.34425402907876496,-0.0033507671947858864
57,17100,bank,0.24737145502281946,0.24704514589776053,0.0013191058161049485
58,17400,restore,0.11814240740156726,0.11444113829317287,0.031328878340981636
59,17700,bank,1.0758390535176259,1.0755451262933704,0.00027320743125514024
60,18000,zones,0.49762155271270964,0.4987098066922688,-0.00218691086354017
61,18300,zones,0.39396987723269505,0.3956538652259875,-0.00427440799565959
62,18600,restore,0.1822606327104376,0.18066167205737102,0.008772934831225432
63,18900,zones,0.2304733553770114,0.23170057971084737,-0.00532479918048856
64,19200,restore,0.1580852718786569,0.15755791989499202,0.0033358704286485796
65,19500,bank,1.34894128566155,1.3477650460850776,0.0008719724045627153
66,19800,zones,0.33405118631718705,0.33346475954850097,0.0017554997338918854
67,20100,restore,0.24092534195416973,0.23771098034227794,0.013341733110430742
68,20400,restore,0.15504949727812312,0.14832832409804933,0.04334856480068139
69,20700,restore,0.10414422322653369,0.10062563864821691,0.03378569131638898
70,21000,restore,0.1739921133696956,0.18153580822349966,-0.04335653328019151
71,21300,restore,0.15807502090690523,0.15822887278839023,-0.000973283954683879
72,21600,bank,0.5856296285485321,0.5964213961970969,-0.018427632623902568
73,21900,zones,0.4293782380718666,0.42883921136627523,0.001255365684138754
74,22200,bank,0.8519466176286584,0.8524515420865932,-0.0005926714743469397
75,22500,restore,0.44068226321079335,0.43793379292570245,0.006236852522871317
76,22800,zones,0.2202651071425783,0.2221706814453312,-0.00865127630732454
77,23100,restore,0.2639998995294304,0.2495731840762546,0.05464667024074965
78,23400,restore,0.1329480982332303,0.1769711601181132,-0.33112968496663564
79,23700,zones,0.22903560091298866,0.2522460019935353,-0.10133970870914677
80,24000,zones,0.2776664297476091,0.3420691586153496,-0.23194279886942315
81,24300,restore,0.8341034931156821,0.7985601956922023,0.042612574718650986
82,24600,restore,0.35240728616310973,0.32470063316405984,0.07862111280589701
83,24900,bank,0.9557859921644515,0.9846548426630509,-0.03020430382456607
84,25200,restore,0.11901846916287509,0.14925358709240985,-0.25403719390944635
85,25500,zones,0.1916225987989297,0.19905399678071878,-0.03878142780845417
86,25800,zones,0.42834557148297997,0.47425559232196846,-0.10717986573327432
87,26100,bank,0.4793455243651015,0.4865055190990668,-0.01493702218967985
